ElementId,Category,FamilyAndType,Mark,LocationType,FacingAngle_deg,Model_X_ft,Model_Y_ft,Model_Z_ft,Tag_U_ft,Tag_V_ft,ViewLocal_U_ft,ViewLocal_V_ft,BBox_Min_X,BBox_Min_Y,BBox_Max_X,BBox_Max_Y
139854,Walls,Exterior - Insulation on Masonry,,CurveMidpt,,185.4366,-62.7687,0.0000,185.4366,-62.7687,185.4366,-62.7687,184.9396,-77.0478,185.9337,-48.9867
139855,Walls,Exterior Curtain Wall,,CurveMidpt,,-18.5090,-76.3818,0.0000,-18.5090,-76.3818,-18.5090,-76.3818,-32.1434,-78.0222,-4.8747,-74.7413
139856,Walls,Exterior Curtain Wall,,CurveMidpt,,-32.1434,86.8001,0.0000,-32.1434,86.8001,-32.1434,86.8001,-33.7838,73.2670,-30.5030,100.3331
139857,Walls,Exterior - Insulation on Masonry,,CurveMidpt,,55.7874,100.5021,0.0000,55.7874,100.5021,55.7874,100.5021,21.8097,100.0051,90.2621,100.9991
139858,Walls,Exterior Curtain Wall,,CurveMidpt,,89.7651,68.8269,0.0000,89.7651,68.8269,89.7651,68.8269,88.1247,64.3630,91.4055,73.2908
140003,Walls,Exterior Curtain Wall,,CurveMidpt,,104.5178,-40.4703,0.0000,104.5178,-40.4703,104.5178,-40.4703,23.7680,-42.1108,185.2676,-38.8299
140006,Walls,Exterior Curtain Wall,,CurveMidpt,,23.7680,-31.1995,0.0000,23.7680,-31.1995,23.7680,-31.1995,22.1276,-40.4703,25.4085,-21.9287
140009,Walls,Exterior Curtain Wall,,CurveMidpt,,56.7666,64.3630,0.0000,56.7666,64.3630,56.7666,64.3630,23.7680,62.7226,89.7651,66.0034
140012,Walls,Pavillion Curtain Wall,,CurveMidpt,,36.0182,-2.2620,0.0000,36.0182,-2.2620,36.0182,-2.2620,25.7467,-3.9024,46.2897,-0.6216
140015,Walls,Pavillion Curtain Wall,,CurveMidpt,,46.2897,-12.0953,0.0000,46.2897,-12.0953,46.2897,-12.0953,44.6492,-21.9287,47.9301,-2.2620
140018,Walls,Pavillion Curtain Wall,,CurveMidpt,,36.0182,-21.9287,0.0000,36.0182,-21.9287,36.0182,-21.9287,25.7467,-23.5691,46.2897,-20.2883
143858,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,53.6278,73.0160,0.0000,53.6278,73.0160,53.6278,73.0160,26.7498,72.7888,80.6066,73.2432
144051,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,14.1055,-49.2139,0.0000,14.1055,-49.2139,14.1055,-49.2139,4.1148,-49.4411,23.9952,-48.9867
144180,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,26.9770,86.7591,0.0000,26.9770,86.7591,26.9770,86.7591,26.7498,72.8397,27.2042,100.5021
144230,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,39.9692,86.7591,0.0000,39.9692,86.7591,39.9692,86.7591,39.7420,73.0160,40.1964,100.5021
144289,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,59.7198,86.7591,0.0000,59.7198,86.7591,59.7198,86.7591,59.4926,73.0160,59.9470,100.5021
144344,Walls,Generic - 200mm,,CurveMidpt,,80.2785,86.7591,0.0000,80.2785,86.7591,80.2785,86.7591,79.9505,73.0160,80.6066,100.5021
144837,Walls,Exterior - Insulation on Masonry,,CurveMidpt,,-18.6439,19.9063,0.0000,-18.6439,19.9063,-18.6439,19.9063,-32.4813,19.4092,-4.7484,20.4033
145023,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,37.9678,80.7359,0.0000,37.9678,80.7359,37.9678,80.7359,26.9770,80.5087,49.1859,80.9631
145054,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,48.9587,76.8760,0.0000,48.9587,76.8760,48.9587,76.8760,48.7315,73.0160,49.1859,80.9122
145109,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,69.9992,91.4995,0.0000,69.9992,91.4995,69.9992,91.4995,59.7198,91.2723,80.2785,91.7267
145174,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,69.5951,82.2578,0.0000,69.5951,82.2578,69.5951,82.2578,69.3679,73.0160,69.8223,91.4995
145211,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,74.9368,80.7359,0.0000,74.9368,80.7359,74.9368,80.7359,69.5951,80.5087,80.2785,80.9631
145263,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,78.3100,76.8760,0.0000,78.3100,76.8760,78.3100,76.8760,78.0828,73.0160,78.5372,80.7359
145547,Walls,Exterior Curtain Wall,,CurveMidpt,,-13.4049,46.5867,0.0000,-13.4049,46.5867,-13.4049,46.5867,-15.0453,19.9063,-11.7644,73.2670
145607,Windows,0915 x 1220mm,5,Point,,31.3077,100.5021,3.0020,31.3077,100.5021,31.3077,100.5021,29.8068,100.0051,32.8087,102.0052
145683,Windows,0915 x 1220mm,6,Point,,35.6385,100.5021,3.0020,35.6385,100.5021,35.6385,100.5021,34.1375,100.0051,37.1394,102.0052
145733,Windows,0915 x 1220mm,7,Point,,43.9193,100.5021,3.0020,43.9193,100.5021,43.9193,100.5021,42.4183,100.0051,45.4203,102.0052
145801,Windows,0915 x 1220mm,8,Point,,47.8694,100.5021,3.0020,47.8694,100.5021,47.8694,100.5021,46.3684,100.0051,49.3704,102.0052
145843,Windows,0915 x 1220mm,9,Point,,51.8196,100.5021,3.0020,51.8196,100.5021,51.8196,100.5021,50.3186,100.0051,53.3205,102.0052
145891,Windows,0915 x 1220mm,10,Point,,55.7697,100.5021,3.0020,55.7697,100.5021,55.7697,100.5021,54.2687,100.0051,57.2707,102.0052
145999,Doors,0915 x 2134mm,122,Point,90.0000,26.9770,98.2006,0.0000,26.9770,98.2006,26.9770,98.2006,23.7479,96.4503,29.9191,99.9509
146094,Doors,0915 x 2134mm,124,Point,360.0000,37.9678,80.7359,0.0000,37.9678,80.7359,37.9678,80.7359,36.2175,80.4266,39.7182,83.9659
146152,Doors,0915 x 2134mm 20 Minute Rated,125,Point,360.0000,47.1296,73.0160,0.0000,47.1296,73.0160,47.1296,73.0160,45.3793,72.7068,48.8799,76.2461
146282,Doors,1830 x 2134mm,123,Point,180.0000,52.9613,73.0160,0.0000,52.9613,73.0160,52.9613,73.0160,49.7100,72.7068,56.2126,76.2452
146343,Doors,0915 x 2134mm,126,Point,360.0000,67.7661,73.0160,0.0000,67.7661,73.0160,67.7661,73.0160,66.0157,72.7068,69.5164,76.2461
146483,Doors,0915 x 2134mm,129,Point,180.0000,71.4242,73.0160,0.0000,71.4242,73.0160,71.4242,73.0160,69.6739,72.7068,73.1745,76.2461
146563,Doors,0915 x 2134mm,128,Point,270.0000,69.5951,82.5649,0.0000,69.5951,82.5649,69.5951,82.5649,69.2859,80.8146,72.8252,84.3153
146641,Doors,0915 x 2134mm,127,Point,360.0000,67.7661,91.4995,0.0000,67.7661,91.4995,67.7661,91.4995,66.0157,88.2694,69.5164,91.8087
146741,Doors,0915 x 2134mm,130,Point,270.0000,89.7651,78.9873,0.0000,89.7651,78.9873,89.7651,78.9873,89.1860,77.2370,93.2650,80.7377
147833,Walls,Storefront,,CurveMidpt,,85.0218,76.5200,0.0000,85.0218,76.5200,85.0218,76.5200,80.2785,74.8796,89.7651,78.1604
147834,Doors,M_Curtain Wall Sgl Glass,130A,BBoxCenter,,81.7971,78.0841,3.5007,81.7971,78.0841,81.7971,78.0841,79.8216,76.4790,83.7726,79.6893
148422,Walls,Exterior Curtain Wall,,CurveMidpt,,-5.1668,100.3331,0.0000,-5.1668,100.3331,-5.1668,100.3331,-32.1434,98.6927,21.8097,101.9736
148769,Walls,Exterior - Insulation on Masonry,,CurveMidpt,,-32.3123,40.4553,0.0000,-32.3123,40.4553,-32.3123,40.4553,-32.8094,7.4163,-31.8153,73.7641
148960,Walls,Storefront,,CurveMidpt,,11.2279,73.0160,0.0000,11.2279,73.0160,11.2279,73.0160,-4.5212,71.3756,26.9770,74.6565
149189,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,-18.6439,7.6435,0.0000,-18.6439,7.6435,-18.6439,7.6435,-32.8094,7.4163,-4.7484,7.8707
149293,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,-18.4364,-12.2687,0.0000,-18.4364,-12.2687,-18.4364,-12.2687,-31.8973,-12.4959,-4.9756,-12.0415
149395,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,-18.4364,-25.3921,0.0000,-18.4364,-25.3921,-18.4364,-25.3921,-31.8973,-25.6193,-4.9756,-25.1649
149505,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,-23.2851,13.7749,0.0000,-23.2851,13.7749,-23.2851,13.7749,-23.5123,7.6435,-23.0579,19.9063
149551,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,-7.8662,10.9243,0.0000,-7.8662,10.9243,-7.8662,10.9243,-8.0934,7.6435,-7.6390,14.4324
149589,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,-6.4209,14.2052,0.0000,-6.4209,14.2052,-6.4209,14.2052,-8.0426,13.9780,-4.7992,14.4324
149877,Walls,Exterior Curtain Wall,,CurveMidpt,,-32.1434,-34.3691,0.0000,-32.1434,-34.3691,-32.1434,-34.3691,-33.7838,-76.3818,-30.5030,7.6435
149921,Doors,1730 x 2134mm,119A,Point,180.0000,-26.7415,19.9063,0.0000,-26.7415,19.9063,-26.7415,19.9063,-29.8287,19.3272,-23.6542,23.2413
150034,Doors,1730 x 2134mm 20 Minute Rated,119B,Point,270.0000,-23.2851,10.8095,0.0000,-23.2851,10.8095,-23.2851,10.8095,-26.3502,7.7222,-22.9759,13.8968
150153,Doors,1730 x 2134mm 20 Minute Rated,118,Point,270.0000,-7.8662,10.8095,0.0000,-7.8662,10.8095,-7.8662,10.8095,-8.1754,7.7222,-4.8011,13.8968
150342,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,-4.9756,-20.6716,0.0000,-4.9756,-20.6716,-4.9756,-20.6716,-5.2028,-48.9867,-4.7484,7.7690
150403,Doors,0915 x 2134mm,117,Point,270.0000,-4.9756,-10.1116,0.0000,-4.9756,-10.1116,-4.9756,-10.1116,-8.2056,-11.8619,-4.6663,-8.3613
150461,Doors,0915 x 2134mm,116,Point,270.0000,-4.9756,-23.2349,0.0000,-4.9756,-23.2349,-4.9756,-23.2349,-8.2056,-24.9853,-4.6663,-21.4846
150584,Doors,1830 x 2134mm,115,Point,90.0000,-4.9756,-29.0502,0.0000,-4.9756,-29.0502,-4.9756,-29.0502,-8.2047,-32.3015,-4.6663,-25.7989
150861,Walls,Generic - 200mm,,CurveMidpt,,-4.8747,-62.7687,0.0000,-4.8747,-62.7687,-4.8747,-62.7687,-5.2028,-76.5507,-4.5466,-48.9867
150980,Walls,Exterior - Insulation on Masonry,,CurveMidpt,,18.3087,-76.5507,0.0000,18.3087,-76.5507,18.3087,-76.5507,-5.2028,-77.0478,41.7193,-76.0537
151331,Walls,Generic - 200mm,,CurveMidpt,,4.4429,-62.8823,0.0000,4.4429,-62.8823,4.4429,-62.8823,4.1148,-76.5507,4.7710,-48.9867
151588,Walls,Storefront,,CurveMidpt,,-0.2159,-52.2159,0.0000,-0.2159,-52.2159,-0.2159,-52.2159,-4.8747,-53.8563,4.4429,-50.5755
151594,Doors,M_Curtain Wall Sgl Glass,114,BBoxCenter,,-3.3561,-53.7801,3.5007,-3.3561,-53.7801,-3.3561,-53.7801,-5.3316,-55.3852,-1.3806,-52.1749
152037,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,12.6450,-53.0115,0.0000,12.6450,-53.0115,12.6450,-53.0115,12.4178,-57.0363,12.8722,-49.2139
152111,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,23.7680,-62.8823,0.0000,23.7680,-62.8823,23.7680,-62.8823,23.5408,-76.5507,23.9952,-49.0376
152271,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,41.4921,-62.8823,0.0000,41.4921,-62.8823,41.4921,-62.8823,41.2649,-76.5507,41.7193,-48.9867
152347,Walls,Interior - 138mm Partition (1-hr),,CurveMidpt,,27.0686,-56.8091,0.0000,27.0686,-56.8091,27.0686,-56.8091,12.4687,-57.0363,41.4921,-56.5819
152378,Doors,0915 x 2134mm,111,Point,360.0000,10.4879,-49.2139,0.0000,10.4879,-49.2139,10.4879,-49.2139,8.7375,-52.4440,12.2382,-48.9047
