TagId,New_U_ft,New_V_ft
438678,26.8335,95.4503
438679,37.9678,79.4266
438680,47.1296,71.7068
438681,52.9613,71.7068
438682,67.7661,71.7068
438683,71.4242,71.7068
438684,71.0556,79.8146
438685,67.7661,87.2694
438686,91.2255,76.2370
438687,81.7971,75.4790
438688,-26.7415,18.3272
438689,-24.6631,14.8968
438690,-6.4883,14.8968
438691,-6.4360,-7.3613
438692,-6.4360,-20.4846
438693,-6.4355,-24.7989
438694,-3.3561,-51.1749
438695,10.4879,-47.9047
438696,14.8022,-47.9047
438697,25.6782,-55.4999
438698,39.6631,-55.4999
438699,158.7059,-47.9047
438700,154.3916,-47.9047
438701,139.0208,-47.9047
438702,134.7065,-47.9047
438703,99.6508,-47.9047
438704,95.3365,-47.9047
438705,79.9657,-47.9047
438706,75.6514,-47.9047
438707,44.9616,-47.9047
438708,177.4687,-51.1749
438709,186.8970,-57.3573
438710,-14.9553,56.2957
438711,8.8807,77.1821
438712,-14.9553,50.1278
438713,-6.5752,56.2957
438714,-6.5752,50.1278
438715,32.0156,1.9040
438716,31.3077,102.9894
438717,35.6385,102.9894
438718,43.9193,102.9894
438719,47.8694,102.9894
438720,51.8196,102.9894
438721,55.7697,102.9894
438796,28.9792,87.1718
438798,61.6967,86.7842
