=== ELEMENTS ===
ElementId,Category,FamilyAndType,Mark,X_ft,Y_ft,Z_ft,MinX,MinY,MaxX,MaxY
198694,Walls,SIP 202mm Wall - conc clad,,43.1855,-0.6614,14.2717,42.8541,-10.8353,43.5168,9.5125
234869,Walls,Wall - Timber Clad,,32.8147,-3.0909,11.8110,32.4834,-10.8353,33.1461,4.6536
423099,Walls,SH_Curtain wall,,37.9328,9.3452,9.3504,33.0116,7.7047,42.8541,10.9856
423107,Doors,Entrance door,201A,35.5050,10.7231,14.2060,33.1428,8.3609,37.8672,13.0853
428588,Walls,SIP 202mm Wall - conc clad,,10.7363,9.5125,11.8110,-21.7128,9.1811,43.1855,9.8439
428745,Walls,SIP 202mm Wall - conc clad,,10.7363,-10.8353,13.9436,-21.7128,-11.1666,43.1855,-10.5039
428797,Walls,SH_Curtain wall,,-16.0370,-0.6614,19.5424,-17.6774,-10.8353,-14.3966,9.5125
429964,Walls,Interior - Partition,,3.4840,-0.6614,11.8110,3.2872,-10.8353,3.6809,9.5125
430064,Walls,Interior - Partition,,14.1943,4.4567,11.8110,-4.6853,4.2599,33.0739,4.6536
430318,Walls,Interior - Partition,,13.5234,-0.2743,11.8110,13.3265,-5.0052,13.7202,4.4567
430361,Walls,Interior - Partition,,18.1658,-4.8084,11.8110,13.3594,-5.0052,22.9722,-4.6115
430412,Walls,Interior - Partition,,22.9722,-7.1985,11.8110,22.7754,-10.8353,23.1691,-3.5617
430859,Walls,Interior - Partition,,-4.5212,-3.0909,11.8110,-4.7181,-10.8353,-4.3244,4.6536
430997,Doors,800 x 2100,202,30.8430,3.1934,13.4186,29.2681,1.6348,32.4178,4.7520
431064,Doors,800 x 2100,204,5.3836,3.1934,13.4186,3.8088,1.6348,6.9584,4.7520
431144,Doors,800 x 2100,203,21.7089,-8.8635,13.4186,20.1503,-10.4383,23.2675,-7.2887
431198,Doors,800 x 2100,205,14.7867,0.4541,13.4186,13.2281,-1.1207,16.3453,2.0289
457479,Windows,Standard,18,-8.8191,-8.7838,14.2552,-11.4340,-11.9849,-6.2043,-5.5827
457534,Windows,Standard,19,10.8659,-8.7838,14.2552,8.2511,-11.9849,13.4807,-5.5827
457542,Windows,Standard,20,30.0227,-8.7838,14.2552,27.4079,-11.9849,32.6376,-5.5827
485432,Windows,Standard,21,-8.8191,7.4610,14.2552,-11.4340,4.2599,-6.2043,10.6621
485452,Doors,Curtain Wall Dbl Glass,206B,-17.3880,6.6877,13.2515,-18.8015,4.3255,-15.9745,9.0499
485679,Doors,800 x 2100,206A,2.2207,7.5407,13.4186,0.6621,5.9659,3.7793,9.1155
497540,Walls,Interior - Partition,,-0.5186,0.1260,11.8110,-4.5212,-0.0708,3.4840,0.3229
498006,Windows,Standard,24,15.7872,7.4610,14.2552,13.1723,4.2599,18.4020,10.6621
505974,Doors,2.027 x 0.945,207,-4.8701,-5.1069,13.1677,-5.4159,-8.2073,-4.3244,-2.0065
506386,Walls,Interior - Partition,,-0.6170,-3.2205,11.8110,-2.5855,-3.4173,1.3515,-3.0236
506797,Walls,Interior - Partition,,-0.6170,-1.5472,11.8110,-0.8139,-3.2205,-0.4202,0.1260
530178,Walls,SIP 202mm Wall - conc clad,,-21.4536,-0.6614,14.2717,-21.7850,-11.1666,-21.1223,9.8439
554383,Windows,Standard,28,20.7084,7.4610,14.2552,18.0936,4.2599,23.3233,10.6621
567887,Railings,SH_1100mm,,38.3189,1.4835,11.2418,38.2368,-6.3003,38.4009,9.2673
665557,Stairs,Stair,,40.4621,-0.6614,4.9213,38.0674,-10.5039,42.8569,9.1811
665711,Railings,SH_1100mm,,38.5630,-0.6760,6.7922,38.0264,-6.4670,39.0997,5.1150
706288,Windows,Standard,93,-0.6170,-8.7838,14.2552,-3.2319,-11.9849,1.9978,-5.5827
