ElementId,Category,FamilyAndType,Mark,LocationType,FacingAngle_deg,Model_X_ft,Model_Y_ft,Model_Z_ft,Tag_U_ft,Tag_V_ft,ViewLocal_U_ft,ViewLocal_V_ft,BBox_Min_X,BBox_Min_Y,BBox_Max_X,BBox_Max_Y
198694,Walls,SIP 202mm Wall - conc clad,,CurveMidpt,,43.1855,-0.6614,9.8425,43.1855,-0.6614,43.1855,-0.6614,42.8541,-10.8353,43.5168,9.5125
234869,Walls,Wall - Timber Clad,,CurveMidpt,,32.8147,-3.1893,9.8425,32.8147,-3.1893,32.8147,-3.1893,32.4834,-10.8353,33.1461,4.6536
423099,Walls,SH_Curtain wall,,CurveMidpt,,37.9328,9.3452,0.0000,37.9328,9.3452,37.9328,9.3452,33.0116,7.7047,42.8541,10.9856
423107,Doors,Entrance door,201A,BBoxCenter,,35.5050,10.7231,14.2060,35.5050,10.7231,35.5050,10.7231,33.1428,8.3609,37.8672,13.0853
428588,Walls,SIP 202mm Wall - conc clad,,CurveMidpt,,10.8659,9.5125,9.8425,10.8659,9.5125,10.8659,9.5125,-21.7128,9.1811,43.1855,9.8439
428745,Walls,SIP 202mm Wall - conc clad,,CurveMidpt,,10.8659,-10.8353,9.8425,10.8659,-10.8353,10.8659,-10.8353,-21.7128,-11.1666,43.1855,-10.5039
428797,Walls,SH_Curtain wall,,CurveMidpt,,-16.0370,-0.6614,9.8425,-16.0370,-0.6614,-16.0370,-0.6614,-17.6774,-10.8353,-14.3966,9.5125
429964,Walls,Interior - Partition,,CurveMidpt,,3.4840,-0.6614,9.8425,3.4840,-0.6614,3.4840,-0.6614,3.2872,-10.8353,3.6809,9.5125
430064,Walls,Interior - Partition,,CurveMidpt,,14.1468,4.4567,9.8425,14.1468,4.4567,14.1468,4.4567,-4.6853,4.2599,33.0739,4.6536
430318,Walls,Interior - Partition,,CurveMidpt,,13.5234,-0.1758,9.8425,13.5234,-0.1758,13.5234,-0.1758,13.3265,-5.0052,13.7202,4.4567
430361,Walls,Interior - Partition,,CurveMidpt,,18.2478,-4.8084,9.8425,18.2478,-4.8084,18.2478,-4.8084,13.3594,-5.0052,22.9722,-4.6115
430412,Walls,Interior - Partition,,CurveMidpt,,22.9722,-7.2969,9.8425,22.9722,-7.2969,22.9722,-7.2969,22.7754,-10.8353,23.1691,-3.5617
430859,Walls,Interior - Partition,,CurveMidpt,,-4.5212,-3.1893,9.8425,-4.5212,-3.1893,-4.5212,-3.1893,-4.7181,-10.8353,-4.3244,4.6536
430997,Doors,800 x 2100,202,Point,360.0000,30.8430,4.4567,9.8425,30.8430,4.4567,30.8430,4.4567,29.2681,1.6348,32.4178,4.7520
431064,Doors,800 x 2100,204,Point,180.0000,5.3836,4.4567,9.8425,5.3836,4.4567,5.3836,4.4567,3.8088,1.6348,6.9584,4.7520
431144,Doors,800 x 2100,203,Point,270.0000,22.9722,-8.8635,9.8425,22.9722,-8.8635,22.9722,-8.8635,20.1503,-10.4383,23.2675,-7.2887
431198,Doors,800 x 2100,205,Point,90.0000,13.5234,0.4541,9.8425,13.5234,0.4541,13.5234,0.4541,13.2281,-1.1207,16.3453,2.0289
457479,Windows,Standard,18,Point,180.0000,-8.8191,-10.8353,9.8425,-8.8191,-10.8353,-8.8191,-10.8353,-11.4340,-11.9849,-6.2043,-5.5827
457534,Windows,Standard,19,Point,180.0000,10.8659,-10.8353,9.8425,10.8659,-10.8353,10.8659,-10.8353,8.2511,-11.9849,13.4807,-5.5827
457542,Windows,Standard,20,Point,180.0000,30.0227,-10.8353,9.8425,30.0227,-10.8353,30.0227,-10.8353,27.4079,-11.9849,32.6376,-5.5827
485432,Windows,Standard,21,Point,180.0000,-8.8191,9.5125,9.8425,-8.8191,9.5125,-8.8191,9.5125,-11.4340,4.2599,-6.2043,10.6621
485452,Doors,Curtain Wall Dbl Glass,206B,BBoxCenter,,-17.3880,6.6877,13.2515,-17.3880,6.6877,-17.3880,6.6877,-18.8015,4.3255,-15.9745,9.0499
485679,Doors,800 x 2100,206A,Point,90.0000,3.4840,7.5407,9.8425,3.4840,7.5407,3.4840,7.5407,0.6621,5.9659,3.7793,9.1155
497540,Walls,Interior - Partition,,CurveMidpt,,-0.5186,0.1260,9.8425,-0.5186,0.1260,-0.5186,0.1260,-4.5212,-0.0708,3.4840,0.3229
498006,Windows,Standard,24,Point,180.0000,15.7872,9.5125,9.8425,15.7872,9.5125,15.7872,9.5125,13.1723,4.2599,18.4020,10.6621
505974,Doors,2.027 x 0.945,207,Point,270.0000,-4.5212,-5.1069,9.8425,-4.5212,-5.1069,-4.5212,-5.1069,-5.4159,-8.2073,-4.3244,-2.0065
506386,Walls,Interior - Partition,,CurveMidpt,,-0.6170,-3.2205,9.8425,-0.6170,-3.2205,-0.6170,-3.2205,-2.5855,-3.4173,1.3515,-3.0236
506797,Walls,Interior - Partition,,CurveMidpt,,-0.6170,-1.5472,9.8425,-0.6170,-1.5472,-0.6170,-1.5472,-0.8139,-3.2205,-0.4202,0.1260
530178,Walls,SIP 202mm Wall - conc clad,,CurveMidpt,,-21.4536,-0.6614,9.8425,-21.4536,-0.6614,-21.4536,-0.6614,-21.7850,-11.1666,-21.1223,9.8439
554383,Windows,Standard,28,Point,180.0000,20.7084,9.5125,9.8425,20.7084,9.5125,20.7084,9.5125,18.0936,4.2599,23.3233,10.6621
