=== ELEMENTS ===
ElementId,Category,FamilyAndType,Mark,X_ft,Y_ft,Z_ft,MinX,MinY,MaxX,MaxY
1070368,Walls,Mauerwerk - Stein Bestand 800,,110.2246,10.1231,-3.7900,108.6862,0.3961,111.7629,19.8502
1070434,Walls,Mauerwerk - Stein Bestand 800,,83.4693,1.7084,-3.7900,55.1757,0.3961,111.7629,3.0207
1070559,Walls,Mauerwerk - Stein Bestand 800,,56.1993,9.4865,-3.7900,54.6372,0.3961,57.7613,18.5769
1070663,Walls,Mauerwerk - Stein Bestand 800,,83.6136,18.5379,-3.7900,55.9490,17.2255,111.2782,19.8502
1071957,Walls,Hofgebäude UG_Füllung_Phase 2,,80.8640,12.3879,-0.8169,54.9357,4.9257,106.7923,19.8502
1079282,Walls,Hofgebäude UG_Phase 1,,82.2091,11.2711,-2.7067,54.9357,2.6921,109.4826,19.8502
1080118,Walls,Hofgebäude UG_Abbruch_Phase 1,,63.8781,14.6499,-3.7900,54.9064,9.4495,72.8498,19.8502
1080756,Walls,Ortbeton - STB 200,W2.1,43.0138,33.1552,3.4449,33.1988,28.6223,52.8287,37.6880
1080906,Walls,Ortbeton - STB 200,W2.2,33.6075,0.6531,3.4449,16.4405,-0.1859,50.7744,1.4922
1081099,Walls,Ortbeton - STB 200,W2.3,51.4684,17.1246,3.4449,50.9623,14.2390,51.9746,20.0102
1081194,Walls,Ortbeton - STB 250,,62.2313,19.4401,3.9862,51.6128,19.0300,72.8498,19.8502
1081869,Stairs,Stair,,66.0749,14.6499,-2.5888,60.1202,10.2698,72.0296,19.0300
1082361,Railings,Holzhandlauf,,66.0751,14.6499,0.1077,60.1202,10.2693,72.0301,19.0305
1090854,Walls,Ortbeton - STB 250,,62.2313,19.4401,-2.7856,51.6128,19.0300,72.8498,19.8502
1091122,Walls,Ortbeton - STB 250,,61.7275,9.8596,-3.0809,51.0153,9.4495,72.4397,10.2697
1091205,Walls,Ortbeton - STB 250,,72.4397,11.2660,-3.0809,72.0296,2.7639,72.8498,19.7682
1095426,Stairs,Stair,,66.0749,14.6499,7.3719,60.1202,10.2698,72.0296,19.0300
1095433,Railings,Holzhandlauf,,66.2931,14.5889,4.5801,60.6779,10.2693,71.9082,18.9086
1097132,Walls,Mauerwerk - Stein Bestand 350,,110.9462,10.1231,3.6909,110.1296,0.3961,111.7629,19.8502
1097199,Walls,Mauerwerk - Stein Bestand 350,,100.5692,0.9702,3.6909,89.9642,0.3961,111.1743,1.5444
1097242,Walls,Mauerwerk - Stein Bestand 350,,89.9869,0.2325,3.6909,89.3718,-1.0794,90.6020,1.5444
1097323,Walls,Mauerwerk - Stein Bestand 350,,83.5408,-0.5957,3.6909,77.0628,-1.2689,90.0187,0.0775
1097388,Walls,Mauerwerk - Stein Bestand 350,,77.0700,0.1333,3.6909,76.4930,-1.2778,77.6469,1.5444
1097584,Walls,Mauerwerk - Stein Bestand 350,,66.1053,0.9702,3.6909,55.1422,0.3961,77.0683,1.5444
1098177,Walls,Mauerwerk - Stein Bestand 330,,91.5786,19.3089,3.6909,72.4397,18.7675,110.7174,19.8502
1098407,Walls,Ortbeton - STB 250,,63.6603,9.8596,3.9862,54.8808,9.4495,72.4397,10.2697
1098409,Walls,Ortbeton - STB 250,,72.4397,12.6806,3.9862,72.0296,5.5930,72.8498,19.7682
1098580,Walls,Ortbeton - STB 250,,55.4366,5.4149,3.9862,54.8935,0.9579,55.9796,9.8719
1098680,Walls,Ortbeton - STB 250,,89.5050,10.4266,3.9862,88.8180,1.5316,90.1920,19.3216
1099409,Walls,Trockenbau - GK 200,,61.3583,7.7263,3.9862,61.0303,5.5930,61.6864,9.8596
1099500,Walls,Trockenbau - GK 100,,66.8990,5.7570,3.9862,61.3583,5.5930,72.4397,5.9211
1099622,Stairs,Stair,,85.9951,11.9871,-1.9652,83.5837,9.5757,88.4065,14.3986
1103179,Windows,800 x 1100,FE 0.03,111.0924,9.5178,6.1598,108.4511,4.8455,113.7337,14.1901
1103198,Windows,800 x 1100,FE 0.06,110.8922,17.5533,6.1598,108.2509,12.8810,113.5335,22.2256
1105262,Walls,Mauerwerk - Stein Bestand 350,,61.9056,0.9702,5.8235,60.1504,0.3961,63.6609,1.5444
1105264,Walls,Mauerwerk - Stein Bestand 350,,70.3702,0.9702,5.8235,68.6149,0.3961,72.1254,1.5444
1105276,Walls,Mauerwerk - Stein Bestand 350,,80.2993,-0.6430,5.8235,79.1970,-1.2317,81.4015,-0.0544
1105278,Walls,Mauerwerk - Stein Bestand 350,,87.0898,-0.5390,5.8235,85.9876,-1.1277,88.1920,0.0497
1105290,Walls,Mauerwerk - Stein Bestand 330,,105.3301,19.3089,5.8235,103.7061,18.7675,106.9542,19.8502
1105302,Walls,Mauerwerk - Stein Bestand 330,,86.0757,19.3089,5.8235,83.9842,18.7675,88.1673,19.8502
1110439,Doors,ML 1010 x 2135,TU 0.06,101.8635,19.2274,5.7661,100.2067,16.1264,103.5203,22.3285
1110556,Doors,1000 x 2100,TU 0.02,58.9063,21.1461,5.1509,57.1182,19.0300,60.6943,23.2623
1128332,Doors,ML 885 x 2135,TU 0.08,90.1841,5.0445,5.7579,87.2990,3.3246,93.0692,6.7643
1128390,Doors,ML 885 x 2135,TU 0.09,67.8035,4.7476,5.7989,64.6144,2.7378,70.9925,6.7574
