ElementId,Category,FamilyAndType,Mark,LocationType,FacingAngle_deg,Model_X_ft,Model_Y_ft,Model_Z_ft,Tag_U_ft,Tag_V_ft,ViewLocal_U_ft,ViewLocal_V_ft,BBox_Min_X,BBox_Min_Y,BBox_Max_X,BBox_Max_Y
1070368,Walls,Mauerwerk - Stein Bestand 800,,CurveMidpt,,110.2078,10.1231,-9.0564,110.2078,10.1231,110.2078,10.1231,108.6862,0.3961,111.7629,19.8502
1070434,Walls,Mauerwerk - Stein Bestand 800,,CurveMidpt,,83.4335,1.7084,-9.0564,83.4335,1.7084,83.4335,1.7084,55.1757,0.3961,111.7629,3.0207
1070559,Walls,Mauerwerk - Stein Bestand 800,,CurveMidpt,,56.1993,10.1231,-9.0564,56.1993,10.1231,56.1993,10.1231,54.6372,0.3961,57.7613,18.5769
1070663,Walls,Mauerwerk - Stein Bestand 800,,CurveMidpt,,82.9736,18.5379,-9.0564,82.9736,18.5379,82.9736,18.5379,55.9490,17.2255,111.2782,19.8502
1071957,Walls,Hofgebäude UG_Füllung_Phase 2,,Point,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.9357,4.9257,106.7923,19.8502
1079282,Walls,Hofgebäude UG_Phase 1,,Point,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.9357,2.6921,109.4826,19.8502
1080118,Walls,Hofgebäude UG_Abbruch_Phase 1,,Point,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.9064,9.4495,72.8498,19.8502
1080756,Walls,Ortbeton - STB 200,W2.1,CurveMidpt,,43.0138,33.1552,0.0000,43.0138,33.1552,43.0138,33.1552,33.1988,28.6223,52.8287,37.6880
1080906,Walls,Ortbeton - STB 200,W2.2,CurveMidpt,,33.6075,0.6531,0.4593,33.6075,0.6531,33.6075,0.6531,16.4405,-0.1859,50.7744,1.4922
1081099,Walls,Ortbeton - STB 200,W2.3,CurveMidpt,,51.4582,16.9609,0.4593,51.4582,16.9609,51.4582,16.9609,50.9623,14.2390,51.9746,20.0102
1081194,Walls,Ortbeton - STB 250,,CurveMidpt,,62.0263,19.4401,2.0669,62.0263,19.4401,62.0263,19.4401,51.6128,19.0300,72.8498,19.8502
1081869,Stairs,Stair,,BBoxCenter,,66.0749,14.6499,-2.5888,66.0749,14.6499,66.0749,14.6499,60.1202,10.2698,72.0296,19.0300
1082361,Railings,Holzhandlauf,,BBoxCenter,,66.0751,14.6499,0.1077,66.0751,14.6499,66.0751,14.6499,60.1202,10.2693,72.0301,19.0305
1090854,Walls,Ortbeton - STB 250,,CurveMidpt,,62.0263,19.4401,-7.6382,62.0263,19.4401,62.0263,19.4401,51.6128,19.0300,72.8498,19.8502
1091122,Walls,Ortbeton - STB 250,,CurveMidpt,,61.7275,9.8596,-7.6382,61.7275,9.8596,61.7275,9.8596,51.0153,9.4495,72.4397,10.2697
