TagId,New_U_ft,New_V_ft
56278350,77.2092,54.8720
56278351,98.6713,51.8647
56278352,81.6273,65.5000
56278353,78.1660,50.5345
56278354,81.6109,50.5345
56278355,91.6175,50.5345
56278356,45.7677,43.1184
56278357,66.7651,43.1184
56278358,87.7625,43.1184
56278359,61.6798,61.9968
56278360,68.0774,48.6823
56278361,86.6142,48.6823
56278362,90.9888,54.9541
56278363,104.0609,47.8182
56278364,44.0954,21.6519
56278365,114.0000,11.5048
56278366,114.0000,11.5048
56278367,44.6194,-9.0000
56278368,55.1181,-9.0000
56278369,65.6168,-9.0000
56278370,76.1155,-9.0000
56278371,86.6142,-9.0000
56278372,97.1129,-9.0000
56278373,107.5295,-9.0000
56278375,49.8688,-9.0000
56278376,60.3675,-9.0000
56278377,70.8661,-9.0000
56278378,81.3648,-9.0000
56278379,91.8635,-9.0000
56278380,102.3622,-9.0000
56278381,44.0954,-3.0323
56278382,104.0000,57.6936
56278384,98.0819,48.5000
56278385,48.5000,59.5727
56278386,58.3000,66.2250
56278387,83.6942,64.5000
56278388,64.4127,52.0000
56278389,77.8000,51.4911
56278390,81.2000,56.2156
56278391,67.6000,54.8770
56278392,72.8018,57.6000
56278393,87.9000,58.3067
56278394,84.9479,52.0000
56278395,89.9049,52.5000
56278396,83.3177,52.5000
56278397,98.0135,52.0000
56278398,45.4109,48.3000
56278399,41.7380,40.5000
56278400,42.0000,43.2513
56278401,62.9000,43.2357
56278402,63.0077,40.5000
56278403,65.6000,43.2513
56278404,83.6770,40.5000
56278405,86.6000,43.2513
56278406,103.6385,40.5000
56278407,105.0025,40.5000
56278408,107.5000,43.5819
56278409,42.0661,-2.6000
56278410,42.0000,-0.0000
56278411,41.9948,2.6000
56278412,61.6437,-2.6000
56278413,63.0077,-2.6000
56278414,65.5000,-0.0000
56278415,62.9921,2.6000
56278416,82.6411,-2.6000
56278417,84.0051,-2.6000
56278418,86.6000,-0.0000
56278419,83.9895,2.6000
56278420,103.6385,-2.6000
56278421,105.0025,-2.6000
56278422,107.5000,-0.0000
56278423,104.9869,2.6000
56278424,62.1982,64.0000
56278425,113.0000,19.7999
56278426,107.2014,46.5000
56278428,109.6000,19.6850
56278429,108.6450,46.5000
56278430,103.4000,47.0546
56278431,103.4000,56.9583
56278432,96.0958,64.0000
56278433,83.2361,64.0000
56278434,54.7302,67.8000
56278435,100.8050,55.0000
56278436,94.5000,50.3732
56278437,82.0000,54.8954
56278438,84.8819,57.4000
56278439,92.6661,55.0000
56278440,63.2000,66.4206
56278441,82.0000,67.8970
56278442,83.9895,64.8000
56278443,86.5000,67.8970
56278444,83.9895,70.5000
56278445,100.4000,66.4698
56278446,82.0000,42.5000
56278447,101.0171,70.5000
56278448,81.8077,70.5000
56278449,73.6549,67.8000
56278450,92.1916,67.8000
56278451,62.9921,45.7000
56278452,73.2341,45.7000
56278453,83.6614,45.7000
56278454,93.8706,45.7000
56278455,103.0208,45.7000
56278456,41.6667,45.7000
56278457,52.4934,45.7000
56278458,94.5000,52.1941
56278459,91.6757,48.5000
56278460,86.6113,48.5000
56278461,81.6060,48.5000
56278462,78.1738,48.5000
56278463,68.0085,48.5000
56278464,58.5000,51.4247
56278465,58.5000,58.0278
56278466,67.8000,57.5939
56278467,72.8018,52.0000
56278468,72.3228,64.0000
56278469,77.8000,57.5939
56278470,77.8000,54.8134
56278471,91.0000,58.2431
56278472,88.1804,52.0000
56278473,52.4934,-7.0000
56278474,65.8000,62.9085
56278475,113.0000,16.6175
56278476,52.4934,-7.0000
56278478,109.5000,55.3919
