ElementId,Category,FamilyAndType,Mark,LocationType,FacingAngle_deg,Model_X_ft,Model_Y_ft,Model_Z_ft,Tag_U_ft,Tag_V_ft,ViewLocal_U_ft,ViewLocal_V_ft,BBox_Min_X,BBox_Min_Y,BBox_Max_X,BBox_Max_Y
52847699,Rooms,事務室 88,,Point,,51.5338,29.0534,82.5131,51.5338,29.0534,59.7280,22.6626,-6.5617,-6.5633,111.5486,69.7178
52847702,Rooms,ELVホール 91,,Point,,54.8937,60.1442,82.5131,54.8937,60.1442,28.6372,26.0226,50.0328,49.7047,59.7113,69.1601
52847703,Rooms,WC女 92,,Point,,71.3142,60.1283,82.5131,71.3142,60.1283,28.6531,42.4431,59.7113,49.7047,79.8885,63.3202
52847704,Rooms,EPS 93,,Point,,68.0460,51.7626,82.5131,68.0460,51.7626,37.0189,39.1749,59.7113,49.7047,76.4436,53.3136
52847705,Rooms,給湯室 94,,Point,,82.7572,58.5327,82.5131,82.7572,58.5327,30.2487,53.8861,79.8885,49.7047,86.6142,63.3202
52847706,Rooms,PS 95,,Point,,88.6664,57.3964,82.5131,88.6664,57.3964,31.3850,59.7953,86.6142,53.3136,89.8950,63.3202
52847707,Rooms,EPS 96,,Point,,87.1748,51.6045,82.5131,87.1748,51.6045,37.1770,58.3036,83.3333,49.7047,89.8950,53.3136
52847709,Rooms,WC男 98,,Point,,96.9082,55.9865,82.5131,96.9082,55.9865,32.7949,68.0371,89.8950,49.7047,102.8543,63.3202
52847725,Rooms,廊下 100,,Point,,53.7887,47.0283,82.5131,53.7887,47.0283,41.7531,24.9176,26.9029,44.6194,102.2966,49.7703
52847729,Rooms,設備バルコニー 101,,Point,,89.4753,67.2519,82.5131,89.4753,67.2519,21.5295,60.6041,64.5341,63.3202,102.8543,69.7178
52855704,Rooms,PS 117,,Point,,63.0408,65.1900,82.5131,63.0408,65.1900,23.5914,34.1697,59.7113,62.7625,64.5341,69.7178
52855706,Rooms,PS 118,,Point,,72.4933,54.9741,82.5131,72.4933,54.9741,33.8073,43.6221,69.1601,53.3136,76.4436,56.4304
52855708,Rooms,PS 119,,Point,,97.4916,50.4545,82.5131,97.4916,50.4545,38.3269,68.6204,93.3399,49.7047,102.8543,51.0171
52987959,Walls,ECP60,,CurveMidpt,,102.8543,57.7428,82.5131,102.8543,57.7428,31.0386,73.9832,102.7559,45.6693,102.9528,69.7178
52998675,Railings,外部階段手摺(1),,BBoxCenter,,103.6376,50.6659,83.7434,103.6376,50.6659,38.1155,74.7665,103.0020,49.6801,104.2733,51.6517
53566185,Stairs,Stair,,BBoxCenter,,107.4147,55.3919,55.9614,107.4147,55.3919,33.3896,78.5435,103.0774,46.1005,111.7520,64.6832
53566275,Stairs,Stair,,BBoxCenter,,107.9396,55.3919,89.0420,107.9396,55.3919,33.3896,79.0685,104.1273,46.1005,111.7520,64.6832
53566759,Railings,外部階段手摺(1),,BBoxCenter,,107.9396,52.0817,57.4475,107.9396,52.0817,36.6997,79.0685,107.1768,51.5010,108.7024,52.6623
53566781,Railings,外部階段手摺(1),,BBoxCenter,,107.2323,56.6878,50.8038,107.2323,56.6878,32.0936,78.3611,107.0745,51.7337,107.3901,61.6419
53566800,Railings,外部階段手摺(1),,BBoxCenter,,107.9396,55.3878,50.8038,107.9396,55.3878,33.3937,79.0685,104.0600,46.0251,111.8192,64.7505
53566834,Railings,外部階段手摺(1),,BBoxCenter,,107.9290,56.5673,54.1257,107.9290,56.5673,32.2141,79.0578,107.1555,51.5010,108.7024,61.6337
53567119,Railings,外部階段手摺(1),,BBoxCenter,,107.9396,55.4304,115.2723,107.9396,55.4304,33.3510,79.0685,104.0600,46.1317,111.8192,64.7291
53567160,Railings,外部階段手摺(1) 始端延長なし,,BBoxCenter,,107.9355,56.3828,92.9790,107.9355,56.3828,32.3986,79.0644,107.1686,51.8947,108.7024,60.8709
53568089,Railings,外部階段手摺(1),,BBoxCenter,,107.2323,56.6027,87.0852,107.2323,56.6027,32.1787,78.3611,107.0745,51.5912,107.3901,61.6142
53568219,Railings,外部階段手摺(1) 終端延長なし,,BBoxCenter,,107.9396,61.3722,89.9497,107.9396,61.3722,27.4092,79.0685,107.1768,60.7119,108.7024,62.0325
53715991,Walls,ECP60,,CurveMidpt,,29.0846,69.7178,82.5131,29.0846,69.7178,19.0636,0.2135,-6.4633,69.6194,64.6325,69.8163
53715996,Walls,(L)EB1/--0,,CurveMidpt,,98.0819,49.6686,82.5131,98.0819,49.6686,39.1128,69.2108,93.3095,49.5259,102.8543,49.8114
53715998,Walls,(X2)-B0/--0,,CurveMidpt,,50.1017,59.6604,82.5131,50.1017,59.6604,29.1210,21.2305,49.9262,49.5259,50.2772,69.6194
53716001,Walls,(L)EB1/--0,,CurveMidpt,,59.6752,66.2250,82.5131,59.6752,66.2250,22.5564,30.8040,59.5325,62.7321,59.8179,69.7178
53716002,Walls,ECP60,,CurveMidpt,,83.6942,63.3202,82.5131,83.6942,63.3202,25.4612,54.8231,64.5341,63.2218,102.8543,63.4186
53716004,Walls,(L)HA0/D-0,,CurveMidpt,,64.4127,53.3235,82.5131,64.4127,53.3235,35.4579,35.5416,59.6957,53.1660,69.1298,53.4810
53716005,Walls,(L)HA0/D-0,,CurveMidpt,,76.4534,51.4911,82.5131,76.4534,51.4911,37.2903,47.5822,76.2959,49.6891,76.6109,53.2931
53716006,Walls,(L)HA1/EB1,,CurveMidpt,,79.8942,56.2156,82.5131,79.8942,56.2156,32.5659,51.0230,79.7211,49.6990,80.0673,62.7321
53716007,Walls,(L)HA0/--0,,CurveMidpt,,69.1298,54.8770,82.5131,69.1298,54.8770,33.9044,40.2586,68.9928,53.2931,69.2667,56.4608
53716008,Walls,(L)HA0/--0,,CurveMidpt,,72.8018,56.4608,82.5131,72.8018,56.4608,32.3206,43.9307,69.1298,56.3238,76.4739,56.5978
53716009,Walls,(L)EB0/--0,,CurveMidpt,,86.5781,58.3067,82.5131,86.5781,58.3067,30.4747,57.7069,86.4354,53.2931,86.7208,63.3202
53716010,Walls,(L)EB0/D-0,,CurveMidpt,,84.9479,53.3292,82.5131,84.9479,53.3292,35.4522,56.0768,83.3177,53.1660,86.5781,53.4925
53716011,Walls,(L)HA0/D-0,,CurveMidpt,,89.9049,51.4911,82.5131,89.9049,51.4911,37.2903,61.0337,89.7474,49.6891,90.0623,53.2931
53716012,Walls,(L)EB0/D-0,,CurveMidpt,,83.3177,51.5092,82.5131,83.3177,51.5092,37.2722,54.4466,83.1545,49.6891,83.4810,53.4925
53716015,Walls,(L)HA0/--0,,CurveMidpt,,98.0971,51.0474,82.5131,98.0971,51.0474,37.7340,69.2260,93.1726,50.9104,102.8543,51.1844
53716019,Doors,SD210 400x1500,249,Point,270.0000,76.4739,54.8720,82.8412,76.4739,54.8720,33.9094,47.6028,76.3369,54.0846,78.0815,55.6594
53716020,Walls,(X2)-B0/--0,,CurveMidpt,,45.3576,49.7014,82.5131,45.3576,49.7014,39.0800,16.4864,40.6135,49.5259,50.2083,49.8770
53716023,Doors,SD209 450x450 MWC点検口,252,Point,360.0000,98.6713,51.0474,85.7940,98.6713,51.0474,37.7340,69.8001,97.8018,50.9104,99.5407,52.8191
53716024,Doors,SD203 600x2100 設備バルコニ,253,Point,360.0000,81.6273,63.3202,82.5131,81.6273,63.3202,25.4612,52.7561,80.5118,62.5509,82.7428,66.3398
53716040,Walls,(L)EB0/--0,,CurveMidpt,,41.6667,41.9587,82.5131,41.6667,41.9587,46.8227,12.7955,39.9902,41.8159,43.4859,42.1014
53716041,Walls,(L)EB0/--0,,CurveMidpt,,43.3432,43.3071,82.5131,43.3432,43.3071,45.4743,14.4720,43.2005,41.8471,43.4859,44.6555
53716042,Walls,(L)EB0/--0,,CurveMidpt,,61.6437,43.3071,82.5131,61.6437,43.3071,45.4743,32.7725,61.5010,41.8159,61.7864,44.6555
53716043,Walls,(L)EB0/--0,,CurveMidpt,,62.9921,41.9587,82.5131,62.9921,41.9587,46.8227,34.1210,61.5322,41.8159,64.4833,42.1014
53716044,Walls,(L)EB0/--0,,CurveMidpt,,64.3406,43.3071,82.5131,64.3406,43.3071,45.4743,35.4694,64.1978,41.8471,64.4833,44.6555
53716046,Walls,(L)EB0/--0,,CurveMidpt,,83.6614,41.9587,82.5131,83.6614,41.9587,46.8227,54.7903,81.8734,41.8159,85.4806,42.1014
53716047,Walls,(L)EB0/--0,,CurveMidpt,,85.3379,43.3071,82.5131,85.3379,43.3071,45.4743,56.4668,85.1952,41.8471,85.4806,44.6555
53716048,Walls,(L)EB0/--0,,CurveMidpt,,103.6385,43.2710,82.5131,103.6385,43.2710,45.5104,74.7673,103.4957,41.8159,103.7812,44.5833
53716049,Walls,(L)EB0/--0,,CurveMidpt,,104.9869,41.9587,82.5131,104.9869,41.9587,46.8227,76.1157,103.5269,41.8159,106.4780,42.1014
53716050,Walls,(L)EB0/--0,,CurveMidpt,,106.3353,43.5663,82.5131,106.3353,43.5663,45.2151,77.4641,106.1926,41.8471,106.4780,45.3166
53716060,Walls,(L)EB0/--0,,CurveMidpt,,41.9948,-1.3484,82.5131,41.9948,-1.3484,90.1298,13.1236,40.6463,-1.4911,43.4859,-1.2057
53716061,Walls,(L)EB0/--0,,CurveMidpt,,43.3432,-0.0000,82.5131,43.3432,-0.0000,88.7814,14.4720,43.2005,-1.4600,43.4859,1.4600
53716062,Walls,(L)EB0/--0,,CurveMidpt,,41.9948,1.3484,82.5131,41.9948,1.3484,87.4330,13.1236,40.5036,1.2057,43.4859,1.4911
53716063,Walls,(L)EB0/--0,,CurveMidpt,,61.6437,-0.0000,82.5131,61.6437,-0.0000,88.7814,32.7725,61.5010,-1.4911,61.7864,1.4600
53716064,Walls,(L)EB0/--0,,CurveMidpt,,62.9921,-1.3484,82.5131,62.9921,-1.3484,90.1298,34.1210,61.5322,-1.4911,64.4833,-1.2057
53716065,Walls,(L)EB0/--0,,CurveMidpt,,64.3406,-0.0000,82.5131,64.3406,-0.0000,88.7814,35.4694,64.1978,-1.4600,64.4833,1.4600
53716066,Walls,(L)EB0/--0,,CurveMidpt,,62.9921,1.3484,82.5131,62.9921,1.3484,87.4330,34.1210,61.5010,1.2057,64.4833,1.4911
53716067,Walls,(L)EB0/--0,,CurveMidpt,,82.6411,-0.0000,82.5131,82.6411,-0.0000,88.7814,53.7699,82.4984,-1.4911,82.7838,1.4600
53716068,Walls,(L)EB0/--0,,CurveMidpt,,83.9895,-1.3484,82.5131,83.9895,-1.3484,90.1298,55.1183,82.5295,-1.4911,85.4806,-1.2057
53716069,Walls,(L)EB0/--0,,CurveMidpt,,85.3379,-0.0000,82.5131,85.3379,-0.0000,88.7814,56.4668,85.1952,-1.4600,85.4806,1.4600
53716070,Walls,(L)EB0/--0,,CurveMidpt,,83.9895,1.3484,82.5131,83.9895,1.3484,87.4330,55.1183,82.4984,1.2057,85.4806,1.4911
53716071,Walls,(L)EB0/--0,,CurveMidpt,,103.6385,-0.0000,82.5131,103.6385,-0.0000,88.7814,74.7673,103.4957,-1.4911,103.7812,1.4600
53716072,Walls,(L)EB0/--0,,CurveMidpt,,104.9869,-1.3484,82.5131,104.9869,-1.3484,90.1298,76.1157,103.5269,-1.4911,106.4780,-1.2057
53716073,Walls,(L)EB0/--0,,CurveMidpt,,106.3353,-0.0000,82.5131,106.3353,-0.0000,88.7814,77.4641,106.1926,-1.4600,106.4780,1.4600
53716074,Walls,(L)EB0/--0,,CurveMidpt,,104.9869,1.3484,82.5131,104.9869,1.3484,87.4330,76.1157,103.4957,1.2057,106.4780,1.4911
53716076,Doors,Fr201 900x2100,254,Point,360.0000,78.1660,49.6990,82.5131,78.1660,49.6990,39.0824,49.2948,76.6076,49.4931,79.7244,51.5760
53716077,Doors,Fr201 900x2100,255,Point,360.0000,81.6109,49.7047,82.5131,81.6109,49.7047,39.0767,52.7397,80.0525,49.4931,83.1693,51.5817
53716078,Doors,Fr201 900x2100,256,Point,360.0000,91.6175,49.6990,82.5131,91.6175,49.6990,39.0824,62.7463,90.0591,49.4931,93.1759,51.5760
53716081,Doors,SD201 特1常 1200x2100(2800),259,Point,360.0000,45.7677,44.6194,82.5131,45.7677,44.6194,44.1620,16.8966,43.6680,41.4058,47.8675,44.8310
53716082,Doors,SD201 特1常 1200x2100(2800),260,Point,360.0000,66.7651,44.6194,82.5131,66.7651,44.6194,44.1620,37.8939,64.6654,41.4058,68.8648,44.8310
53716083,Doors,SD201 特1常 1200x2100(2800),261,Point,360.0000,87.7625,44.6194,82.5131,87.7625,44.6194,44.1620,58.8913,85.6627,41.4058,89.8622,44.8310
53716338,Walls,(L)HA0/--0,,CurveMidpt,,62.1268,62.7321,82.5131,62.1268,62.7321,26.0493,33.2556,59.6752,62.5951,64.7211,62.8691
53716340,Walls,ECP60,,CurveMidpt,,111.5486,19.7507,82.5131,111.5486,19.7507,69.0308,82.6774,111.4501,-6.2664,111.6470,45.8661
53716341,Walls,ECP60,,CurveMidpt,,107.2014,45.7677,82.5131,107.2014,45.7677,43.0137,78.3303,102.8543,45.6693,111.5486,45.8661
53716357,Doors,SD211 400x2100 消火栓点検口,264,Point,360.0000,61.6798,62.7321,82.8412,61.6798,62.7321,26.0493,32.8086,60.8924,61.1245,62.4672,62.8691
53893943,Walls,防煙垂壁,,CurveMidpt,,41.9948,21.5805,82.5131,41.9948,21.5805,67.2009,13.1236,40.3543,1.3484,43.6352,41.8127
53893944,Windows,SmW01 H600,,BBoxCenter,,44.0954,21.6519,87.1063,44.0954,21.6519,67.1295,15.2242,41.9783,1.4911,46.2124,41.8127
54097576,Walls,(L)EB0/--0,,CurveMidpt,,110.9547,19.6850,82.5131,110.9547,19.6850,69.0964,82.0836,110.8120,-5.9465,111.0974,45.3166
54097619,Walls,(L)EB0/--0,,CurveMidpt,,108.6450,45.1739,82.5131,108.6450,45.1739,43.6075,79.7739,106.3353,45.0312,110.9547,45.3166
54097746,Walls,(L)EB0/--0,,CurveMidpt,,102.2605,47.1440,82.5131,102.2605,47.1440,41.6374,73.3893,102.1178,44.4406,102.4032,49.6686
54097875,Walls,(L)HA0/--0,,CurveMidpt,,102.2662,56.8898,82.5131,102.2662,56.8898,31.8916,73.3951,102.1293,51.0474,102.4032,62.8691
54097989,Walls,(L)HA0/--0,,CurveMidpt,,96.0958,62.7321,82.5131,96.0958,62.7321,26.0493,67.2246,89.9254,62.5951,102.2662,62.8691
