TagId,New_U_ft,New_V_ft
2662817,-30.7083,33.3693
2662818,-45.5208,-3.4136
2662819,-40.8750,22.8378
2662820,-45.2500,40.7496
2662821,-40.8305,15.4013
2662823,-98.6875,20.7083
2662824,55.9740,40.9167
2662825,-67.4896,30.8088
2662826,-63.3385,40.9167
2662827,-91.9583,12.1875
2662828,-8.3125,18.0833
2662829,-22.8854,35.3021
2662830,-17.7812,35.2604
2662831,1.8385,38.8281
2662832,34.6979,33.5885
2662833,-46.0626,42.2500
2662834,-57.3490,25.9896
2662835,-57.3073,30.2708
2662836,-56.1250,32.2552
2662837,-95.7604,19.6875
2662838,-4.2500,36.8854
2662839,-31.0781,26.0677
2662840,-31.0365,30.3490
2662841,30.4167,33.6302
2662842,50.6302,31.9896
2662843,50.6719,36.2708
2662844,-11.5573,16.6771
2662845,-11.5156,5.4792
2662846,-35.2397,-24.9562
2662847,-7.2500,-27.5573
2662848,-17.3750,-27.5573
2662849,0.7073,-27.5156
2662850,2.6667,15.9583
2662851,60.6013,-24.2996
2662852,14.9166,-26.9219
2662853,33.2499,-26.9219
2662854,45.6666,-25.0833
2662855,43.8333,-19.1250
2662856,-33.6934,17.4688
2662857,-13.4583,21.9167
2662858,-1.6667,25.7883
2662859,6.3516,34.0313
2662860,7.3276,17.5417
2662861,-0.4167,-3.8593
2662862,-18.2500,-3.5363
2662863,-11.0573,13.1394
2662864,-16.3021,1.3385
2662865,-3.0519,14.7448
2662866,-8.2135,26.0058
2662867,-4.9215,30.0885
2662868,-18.2500,29.1861
2662869,-17.1042,28.1922
2662870,22.8177,38.2422
2662871,30.0339,33.4635
2662872,32.5573,38.3438
2662873,48.4635,28.4717
2662874,45.3568,25.3906
2662875,58.5468,37.7500
2662876,67.4207,29.6907
2662877,51.5269,43.7500
2662878,22.2914,43.7500
2662879,41.2500,22.9497
2662880,46.3177,10.0833
2662881,52.2083,5.7292
2662882,65.4237,4.5000
2662883,62.4327,0.8333
2662884,65.7515,-0.6563
2662885,49.1250,-14.6342
2662886,52.2552,-18.1459
2662887,38.9896,-17.6738
2662888,45.9375,3.8750
2662899,-95.9167,-30.0000
2662900,-67.4896,-30.0000
2662901,-8.0573,-18.0568
2662902,-8.0573,-7.7264
