ElementId,Category,FamilyAndType,Mark,LocationType,FacingAngle_deg,Model_X_ft,Model_Y_ft,Model_Z_ft,Tag_U_ft,Tag_V_ft,ViewLocal_U_ft,ViewLocal_V_ft,BBox_Min_X,BBox_Min_Y,BBox_Max_X,BBox_Max_Y
607581,Cameras,Camera fr Above (Realistic) wo Point Cloud,,BBoxCenter,,-6.9153,-23.1752,56.2019,-6.9153,-23.1752,-6.9153,-23.1752,-141.4755,-151.2601,127.6448,104.9097
619340,Walls,"Exterior - 13 5/8"" Rainscreen (Two Sides) w Insultation on Metal Stud",,CurveMidpt,,-110.9323,9.1581,-5.9167,-110.9323,9.1581,-110.9323,9.1581,-111.5000,-0.1681,-110.3646,18.7083
619404,Walls,"Core - Concrete 12""",,CurveMidpt,,-105.5625,43.2500,-5.9167,-105.5625,43.2500,-105.5625,43.2500,-111.5000,42.7500,-99.6250,43.7500
619550,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud (Alley)",,CurveMidpt,,67.4207,3.2773,0.0000,67.4207,3.2773,67.4207,3.2773,63.1901,-24.9650,71.6514,31.5195
620048,Walls,"Foundation - 24"" Concrete",,CurveMidpt,,56.0604,-28.5577,-16.9167,56.0604,-28.5577,56.0604,-28.5577,40.2500,-31.6478,71.0075,-25.6156
620883,Stairs,Stair,,BBoxCenter,,-104.8125,33.7083,-11.2971,-104.8125,33.7083,-104.8125,33.7083,-109.0000,25.6875,-100.6250,41.7292
621141,Runs,"1/4"" Tread 1"" Nosing 1/4"" Riser",,BBoxCenter,,-107.1458,29.8662,-11.4167,-107.1458,29.8662,-107.1458,29.8662,-108.9792,25.6875,-105.3125,34.0449
621143,Supports,"_Stringer - 1/4"" Plate",,BBoxCenter,,-108.9896,29.9493,-11.4167,-108.9896,29.9493,-108.9896,29.9493,-109.0000,25.6875,-108.9792,34.2111
621144,Supports,"_Stringer - 1/4"" Plate",,BBoxCenter,,-105.3021,29.9493,-11.4167,-105.3021,29.9493,-105.3021,29.9493,-105.3125,25.6875,-105.2917,34.2111
621208,Runs,"1/4"" Tread 1"" Nosing 1/4"" Riser",,BBoxCenter,,-102.4792,29.3005,-11.4167,-102.4792,29.3005,-102.4792,29.3005,-104.3125,25.5801,-100.6458,33.0208
621210,Landings,Non-Monolithic Landing,,BBoxCenter,,-104.8125,37.3109,-11.4167,-104.8125,37.3109,-104.8125,37.3109,-108.9792,32.9135,-100.6458,41.7083
621212,Supports,"_Stringer - 1/4"" Plate",,BBoxCenter,,-100.6354,29.8204,-11.2971,-100.6354,29.8204,-100.6354,29.8204,-100.6458,25.6875,-100.6250,33.9532
621213,Supports,"_Stringer - 1/4"" Plate",,BBoxCenter,,-104.3229,29.8204,-11.2971,-104.3229,29.8204,-104.3229,29.8204,-104.3333,25.6875,-104.3125,33.9532
621214,Supports,"_Stringer - 1/4"" Plate",,BBoxCenter,,-100.6354,37.3750,-11.4167,-100.6354,37.3750,-100.6354,37.3750,-100.6458,33.0208,-100.6250,41.7292
621215,Supports,"_Stringer - 1/4"" Plate",,BBoxCenter,,-104.8125,41.7188,-11.4167,-104.8125,41.7188,-104.8125,41.7188,-109.0000,41.7083,-100.6250,41.7292
621216,Supports,"_Stringer - 1/4"" Plate",,BBoxCenter,,-108.9896,37.8255,-11.4167,-108.9896,37.8255,-108.9896,37.8255,-109.0000,33.9218,-108.9792,41.7292
621217,Supports,"_Stringer - 1/4"" Plate",,BBoxCenter,,-105.3021,34.4296,-11.4167,-105.3021,34.4296,-105.3021,34.4296,-105.3125,33.9218,-105.2917,34.9375
