=== ELEMENTS ===
ElementId,Category,FamilyAndType,Mark,X_ft,Y_ft,Z_ft,MinX,MinY,MaxX,MaxY
139854,Walls,Exterior - Insulation on Masonry,,185.4366,-63.0173,2.1325,184.9396,-77.0478,185.9337,-48.9867
139855,Walls,Exterior Curtain Wall,,-18.5090,-76.3818,18.7008,-32.1434,-78.0222,-4.8747,-74.7413
139856,Walls,Exterior Curtain Wall,,-32.1434,86.8001,18.7008,-33.7838,73.2670,-30.5030,100.3331
139857,Walls,Exterior - Insulation on Masonry,,56.0359,100.5021,2.1325,21.8097,100.0051,90.2621,100.9991
139858,Walls,Exterior Curtain Wall,,89.7651,68.8269,18.7008,88.1247,64.3630,91.4055,73.2908
140003,Walls,Exterior Curtain Wall,,104.5178,-40.4703,18.7008,23.7680,-42.1108,185.2676,-38.8299
140006,Walls,Exterior Curtain Wall,,23.7680,-31.1995,18.7008,22.1276,-40.4703,25.4085,-21.9287
140009,Walls,Exterior Curtain Wall,,56.7666,64.3630,18.7008,23.7680,62.7226,89.7651,66.0034
140012,Walls,Pavillion Curtain Wall,,36.0182,-2.2620,11.7290,25.7467,-3.9024,46.2897,-0.6216
140015,Walls,Pavillion Curtain Wall,,46.2897,-12.0953,11.7290,44.6492,-21.9287,47.9301,-2.2620
140018,Walls,Pavillion Curtain Wall,,36.0182,-21.9287,11.7290,25.7467,-23.5691,46.2897,-20.2883
143858,Walls,Interior - 138mm Partition (1-hr),,53.6782,73.0160,2.1325,26.7498,72.7888,80.6066,73.2432
144051,Walls,Interior - 138mm Partition (1-hr),,14.0550,-49.2139,2.1325,4.1148,-49.4411,23.9952,-48.9867
144180,Walls,Interior - 138mm Partition (1-hr),,26.9770,86.6709,2.1325,26.7498,72.8397,27.2042,100.5021
144230,Walls,Interior - 138mm Partition (1-hr),,39.9692,86.7591,2.1325,39.7420,73.0160,40.1964,100.5021
144289,Walls,Interior - 138mm Partition (1-hr),,59.7198,86.7591,2.1325,59.4926,73.0160,59.9470,100.5021
144344,Walls,Generic - 200mm,,80.2785,86.7591,2.1325,79.9505,73.0160,80.6066,100.5021
144837,Walls,Exterior - Insulation on Masonry,,-18.6148,19.9063,2.1325,-32.4813,19.4092,-4.7484,20.4033
145023,Walls,Interior - 138mm Partition (1-hr),,38.0814,80.7359,2.1325,26.9770,80.5087,49.1859,80.9631
145054,Walls,Interior - 138mm Partition (1-hr),,48.9587,76.9641,2.1325,48.7315,73.0160,49.1859,80.9122
145109,Walls,Interior - 138mm Partition (1-hr),,69.9992,91.4995,2.1325,59.7198,91.2723,80.2785,91.7267
145174,Walls,Interior - 138mm Partition (1-hr),,69.5951,82.2578,2.1325,69.3679,73.0160,69.8223,91.4995
145211,Walls,Interior - 138mm Partition (1-hr),,74.9368,80.7359,2.1325,69.5951,80.5087,80.2785,80.9631
145263,Walls,Interior - 138mm Partition (1-hr),,78.3100,76.8760,2.1325,78.0828,73.0160,78.5372,80.7359
