=== ELEMENTS ===
ElementId,Category,FamilyAndType,Mark,FacingAngle_deg,X_ft,Y_ft,Z_ft,MinX,MinY,MaxX,MaxY
619404,Walls,"Core - Concrete 12""",,90.0000,-105.5625,43.2500,-3.9167,-111.5000,42.7500,-99.6250,43.7500
631497,Doors,"36"" x 84""",S11A,-0.0000,-98.6875,21.9063,-2.2500,-100.6667,20.2083,-96.7083,23.6042
674522,Walls,"Core - Concrete 12""",,-0.0000,-100.1250,30.4661,-3.9167,-100.6250,18.7083,-99.6250,42.2240
674794,Walls,"Core - Concrete 12""",,-90.0000,-105.8125,19.2083,-3.9167,-111.5000,18.7083,-100.1250,19.7083
697096,Walls,"Exterior - 14 5/8"" Rainscreen w Insultation on Metal Stud",,180.0000,-49.6406,-8.4583,-2.6875,-50.2500,-26.4167,-49.0312,9.5000
697710,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,90.0000,-74.9375,42.2240,-3.9167,-100.1250,41.6979,-49.7500,42.7500
735544,Walls,"Interior - 6 1/8"" Partition (2-hr)",,180.0000,-90.3073,22.1354,-3.9167,-90.5625,19.0625,-90.0521,25.2083
735573,Walls,"Exterior - 10 1/4"" Rainscreen w Insultation on Metal Stud",,-90.0000,-70.0599,9.0729,-3.9167,-90.4792,8.6458,-49.6406,9.5000
736143,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,90.0000,-57.4010,36.2240,-0.4583,-65.5521,35.6979,-49.2500,36.7500
736187,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,-0.0000,-65.0260,39.1771,-3.9167,-65.5521,35.7500,-64.5000,42.6042
737269,Walls,"Interior - 4 7/8"" Partition (1-hr)",,180.0000,-54.4010,28.8699,-3.9167,-54.6042,21.5159,-54.1979,36.2240
737373,Walls,"Interior - 7 1/4"" Partition (1 hr)",,180.0000,-65.2500,28.2318,-3.9167,-65.5521,20.2396,-64.9479,36.2240
738934,Walls,"Interior - 4 7/8"" Partition (1-hr)",,90.0000,-80.2865,25.2448,-3.9167,-90.4583,25.0417,-70.1146,25.4479
739021,Walls,"Interior - 4 7/8"" Partition (1-hr)",,180.0000,-70.3177,27.0208,-3.9167,-70.5208,25.0938,-70.1146,28.9479
739059,Walls,"Interior - 4 7/8"" Partition (1-hr)",,90.0000,-67.8594,28.7448,-3.9167,-70.4687,28.5417,-65.2500,28.9479
742710,Doors,"36"" x 96""",102B,-90.0000,-67.4896,28.6146,-1.8333,-69.1563,26.4203,-65.8229,30.8088
742829,Doors,"42"" x 96"" (Exterior)",102A,-0.0000,-63.3385,38.9688,-1.7500,-65.5938,37.0208,-61.0833,40.9167
744342,Doors,"36"" x 84"" (90 MIN)",101D,180.0000,-91.9583,13.8542,-2.0833,-93.9063,12.1875,-90.0104,15.5208
756965,Walls,"Core - Concrete 10""",,-0.0000,-90.8750,29.9583,-3.9167,-91.2917,25.6250,-90.4583,34.2917
757097,Walls,"Core - Concrete 10""",,90.0000,-95.5000,33.8750,-3.9167,-100.1250,33.4583,-90.8750,34.2917
757247,Walls,"Core - Concrete 10""",,-90.0000,-95.2917,25.6250,-3.9167,-100.1250,25.2083,-90.4583,26.0417
826702,Rooms,Elevator E1,,,-95.4583,29.7500,-8.9167,-99.6250,26.0417,-91.2917,33.4583
828508,Rooms,Café 101,,,-70.3281,22.5990,-3.4167,-90.0521,9.5000,-50.6042,35.6979
828515,Rooms,Café Kitchen 102,,,-82.3125,33.5729,-3.4167,-99.0729,25.4479,-65.5521,41.6979
