=== ELEMENTS ===
ElementId,Category,FamilyAndType,Mark,X_ft,Y_ft,Z_ft,MinX,MinY,MaxX,MaxY
619340,Walls,"Exterior - 13 5/8"" Rainscreen (Two Sides) w Insultation on Metal Stud",,-110.9323,9.2701,10.0833,-111.5000,-0.1681,-110.3646,18.7083
619404,Walls,"Core - Concrete 12""",,-105.5625,43.2500,7.5833,-111.5000,42.7500,-99.6250,43.7500
619550,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud (Alley)",,67.4207,3.2773,10.0833,63.1901,-24.9650,71.6514,31.5195
621689,Multistory Stairs,Multistory Stairs,,-104.8125,33.6979,6.7083,-109.5000,25.1875,-100.1250,42.2083
622037,Stairs,Stair,,-104.8125,33.6979,1.2092,-109.0000,25.6875,-100.6250,41.7083
622056,Railings,_IBC-Pipe-Plate Stringer (Extension None),,-104.8125,31.2135,3.4102,-105.5521,24.5000,-104.0729,37.9271
622060,Railings,Pipe-Wall Mount,,-108.9896,30.7292,4.3125,-109.7256,23.5208,-108.2535,37.9375
622384,Stairs,Stair,,-104.8125,33.6979,13.4583,-109.0000,25.6875,-100.6250,41.7083
622403,Railings,_IBC-Pipe-Plate Stringer (Extension None),,-104.8125,30.7135,15.4518,-105.5521,24.5000,-104.0729,36.9271
622407,Railings,Pipe-Wall Mount,,-108.9896,29.8125,13.4167,-109.7256,23.5208,-108.2535,36.1042
629050,Railings,_IBC-Pipe-Plate Stringer (Extension None),,-104.8125,24.5729,10.0768,-105.5521,23.6875,-104.0729,25.4583
630701,Slab Edges,_Stair Landing Plate Stringer,,-103.3229,23.1972,9.2083,-109.0000,19.7083,-97.6458,26.6860
630930,Walls,"Chase - GWB & Metal Stud 4 1/4""",,-109.1771,31.2292,10.0833,-109.3542,19.2083,-109.0000,43.2500
660279,Railings,_IBC-Pipe-Plate Stringer (Extension None),,45.9375,-2.4063,10.0768,45.1979,-2.7917,46.6771,-2.0208
660428,Doors,"36"" x 84"" (180 MIN)",S32,43.8615,0.9375,11.7500,42.1635,-1.0417,45.5594,2.9167
674522,Walls,"Core - Concrete 12""",,-100.1250,30.4661,7.5833,-100.6250,18.7083,-99.6250,42.2240
674794,Walls,"Core - Concrete 12""",,-105.8125,19.2083,10.0833,-111.5000,18.7083,-100.1250,19.7083
678407,Walls,"Core - Concrete 10""",,3.5000,23.5286,10.0833,3.0833,18.8750,3.9167,28.1823
684173,Walls,"Core - Concrete 12""",,50.6250,-11.8750,10.0833,50.1250,-26.1250,51.1250,2.3750
685081,Walls,"Party - 6 1/8"" (2-hr)",,-20.2500,25.6146,10.0833,-20.7396,9.0052,-19.7604,42.2240
686974,Walls,"Chase - GWB & Metal Stud 6 5/8""",,42.3083,-30.1770,10.0833,41.2414,-30.5911,43.3753,-29.7628
687063,Walls,"Core - Concrete 12""",,45.9375,-26.1250,10.0833,40.7500,-26.6250,51.1250,-25.6250
687200,Walls,"Exterior - 5 3/8"" Rainscreen w Insultation (for Concrete Core Walls)",,43.1514,-28.0979,10.0833,42.9274,-30.0707,43.3753,-26.1250
695423,Stairs,Stair,,43.6042,-8.9792,4.2272,41.7500,-14.9375,45.4583,-3.0208
695514,Railings,_IBC-Pipe-Plate Stringer (Extension None),,45.3542,-9.4375,6.4310,45.1979,-16.1250,45.5104,-2.7500
695518,Railings,Pipe-Wall Mount,,41.7604,-9.4375,7.3333,41.0244,-17.1042,42.4965,-1.7708
697096,Walls,"Exterior - 14 5/8"" Rainscreen w Insultation on Metal Stud",,-49.6406,-8.4583,7.5833,-50.2500,-26.4167,-49.0312,9.5000
697693,Walls,"Core - Concrete 12""",,-111.0000,31.2292,10.0833,-111.5000,19.2083,-110.5000,43.2500
697710,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,-74.9375,42.2240,7.5833,-100.1250,41.6979,-49.7500,42.7500
700016,Stairs,Stair,,45.9375,-11.7813,13.4583,41.7500,-19.6250,50.1250,-3.9375
700761,Railings,_IBC-Pipe-Plate Stringer (Extension None),,45.9375,-8.0885,15.4518,45.1979,-13.4271,46.6771,-2.7500
700765,Railings,Pipe-Wall Mount,,50.1146,-7.6042,13.5581,49.3785,-13.4375,50.8506,-1.7708
701089,Multistory Stairs,Multistory Stairs,,45.9375,-11.7813,13.7083,41.2500,-20.1250,50.6250,-3.4375
716293,Vertical Circulation,3500 lbs,,-95.4583,29.6667,23.9583,-99.6250,26.2083,-91.2917,33.1250
724864,Vertical Circulation,3500 lbs,,-1.0833,23.5000,23.9583,-5.2500,20.0417,3.0833,26.9583
724873,Specialty Equipment,"48"" x 84""",,-1.0833,19.1967,12.0807,-5.0833,18.5183,2.9167,19.8750
734799,Walls,"Party - 6 1/8"" (2-hr)",,3.5833,35.1563,10.0833,3.0938,28.0885,4.0729,42.2240
735382,Walls,"Core - Concrete 10""",,-1.3568,19.2917,10.0833,-6.2135,18.8750,3.5000,19.7083
735544,Walls,"Interior - 6 1/8"" Partition (2-hr)",,-90.3073,22.1484,-0.4583,-90.5625,19.0885,-90.0521,25.2083
736143,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,-57.4010,36.2240,-0.4583,-65.5521,35.6979,-49.2500,36.7500
737373,Walls,"Interior - 7 1/4"" Partition (1 hr)",,-65.2500,28.3073,-0.4583,-65.5521,20.3906,-64.9479,36.2240
738934,Walls,"Interior - 4 7/8"" Partition (1-hr)",,-80.2865,25.2448,-0.4583,-90.4583,25.0417,-70.1146,25.4479
739021,Walls,"Interior - 4 7/8"" Partition (1-hr)",,-70.3177,27.0964,-0.4583,-70.5208,25.2448,-70.1146,28.9479
739059,Walls,"Interior - 4 7/8"" Partition (1-hr)",,-67.7839,28.7448,-0.4583,-70.3177,28.5417,-65.2500,28.9479
746421,Stairs,Stair,,-15.0937,-4.6458,13.4583,-19.0937,-11.1042,-11.0937,1.8125
748363,Walls,"Party - 6 1/8"" (2-hr)",,41.2500,25.6146,10.0833,40.7604,9.0052,41.7396,42.2240
748511,Walls,"Interior - 6 1/8"" Partition (2-hr)",,-22.4062,9.0052,10.0833,-39.8229,8.7500,-4.9896,9.2604
748731,Walls,"Interior - 6 1/8"" Partition (2-hr)",,21.6068,2.4948,10.0833,3.0938,2.2396,40.1198,2.7500
748796,Walls,"Interior - 6 1/8"" Partition (2-hr)",,-34.7005,2.4948,10.0833,-49.6406,2.2396,-19.7604,2.7500
748858,Walls,"Party - 6 1/8"" (2-hr)",,-20.2500,-12.5234,10.0833,-20.7396,-27.5417,-19.7604,2.4948
748873,Walls,"Party - 6 1/8"" (2-hr)",,3.5833,-13.7891,10.0833,3.0938,-30.0729,4.0729,2.4948
751237,Walls,"Interior - 6 1/8"" Partition (2-hr)",,27.4844,9.0052,10.0833,3.5833,8.7500,51.3854,9.2604
756614,Walls,"Core - Concrete 10""",,-1.0833,27.5417,10.0833,-6.0833,27.1250,3.9167,27.9583
756775,Walls,"Core - Concrete 10""",,-5.6667,23.0964,10.0833,-6.0833,18.6510,-5.2500,27.5417
756965,Walls,"Core - Concrete 10""",,-90.8750,29.9583,7.5833,-91.2917,25.6250,-90.4583,34.2917
757097,Walls,"Core - Concrete 10""",,-95.5000,33.8750,7.5833,-100.1250,33.4583,-90.8750,34.2917
757247,Walls,"Core - Concrete 10""",,-95.2917,25.6250,7.5833,-100.1250,25.2083,-90.4583,26.0417
759388,Shaft Openings,Opening Cut,,-95.0417,30.1667,20.4583,-99.6250,26.0417,-90.4583,34.2917
785946,Walls,"Interior - 4 7/8"" Partition (NR)",,-43.0260,-1.9635,10.0833,-44.2604,-2.1667,-41.7917,-1.7604
785947,Walls,"Interior - 7 1/4"" Partition (NR)",,-41.7917,-7.0781,10.0833,-42.0938,-12.0937,-41.4896,-2.0625
785948,Walls,"Interior - 4 7/8"" Partition (NR)",,-30.4818,-11.0573,10.0833,-32.2344,-11.2604,-28.7292,-10.8542
785949,Walls,"Interior - 4 7/8"" Partition (NR)",,-28.6302,-3.3151,10.0833,-28.8333,-4.6667,-28.4271,-1.9635
785950,Walls,"Interior - 4 7/8"" Partition (NR)",,-43.0260,-11.8906,10.0833,-44.2604,-12.0937,-41.7917,-11.6875
785952,Walls,"Interior - 4 7/8"" Partition (NR)",,-30.4323,-4.4635,10.0833,-32.2344,-4.6667,-28.6302,-4.2604
785953,Walls,"Interior - 4 7/8"" Partition (NR)",,-27.4948,-11.8906,10.0833,-28.7292,-12.0937,-26.2604,-11.6875
785954,Walls,"Interior - 4 7/8"" Partition (NR)",,-32.2344,-9.9635,10.0833,-32.4375,-10.9583,-32.0313,-8.9687
785955,Walls,"Interior - 4 7/8"" Partition (NR)",,-40.4740,-5.0365,10.0833,-41.7917,-5.2396,-39.1563,-4.8333
785956,Plumbing Fixtures,"48""x36"" - Private",34,-30.5313,-6.6667,11.5833,-32.0313,-8.6667,-29.0313,-4.6667
785957,Walls,"Interior - 4 7/8"" Partition (NR)",,-27.5469,-1.9635,10.0833,-28.8333,-2.1667,-26.2604,-1.7604
785958,Specialty Equipment,"24""",,-39.4957,-3.4960,9.4792,-41.5019,-5.3511,-37.4896,-1.6409
785959,Specialty Equipment,Wheel Chair Circle,,-36.2188,-5.8802,8.0833,-38.7188,-8.3802,-33.7188,-3.3802
785960,Doors,"36"" x 84"" (Cores)",202A,-34.3750,-3.5417,11.6667,-36.0417,-5.3646,-32.7083,-1.7187
785961,Plumbing Fixtures,Toilet-Domestic-3D,35,-39.9006,-6.4896,9.2396,-41.4479,-7.3209,-38.3532,-5.6582
785962,Casework,"72""",,-36.9635,-9.6146,10.7708,-41.4896,-10.6562,-32.4375,-8.5729
785963,Generic Models,"18"" Deep",,-30.4323,-3.5104,11.0833,-32.0313,-4.2604,-28.8333,-2.7604
785964,Plumbing Fixtures,"19"" x 19""",36,-33.9323,-9.6354,10.6196,-34.7240,-10.4271,-33.1406,-8.8437
