=== ELEMENTS ===
ElementId,Category,FamilyAndType,Mark,X_ft,Y_ft,Z_ft,MinX,MinY,MaxX,MaxY
619340,Walls,"Exterior - 13 5/8"" Rainscreen (Two Sides) w Insultation on Metal Stud",,-110.9323,9.2701,10.0833,-111.5000,-0.1681,-110.3646,18.7083
619404,Walls,"Core - Concrete 12""",,-105.5625,43.2500,7.5833,-111.5000,42.7500,-99.6250,43.7500
619550,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud (Alley)",,67.4207,3.2773,10.0833,63.1901,-24.9650,71.6514,31.5195
621689,Multistory Stairs,Multistory Stairs,,-104.8125,33.6979,6.7083,-109.5000,25.1875,-100.1250,42.2083
622037,Stairs,Stair,,-104.8125,33.6979,1.2092,-109.0000,25.6875,-100.6250,41.7083
622384,Stairs,Stair,,-104.8125,33.6979,13.4583,-109.0000,25.6875,-100.6250,41.7083
630930,Walls,"Chase - GWB & Metal Stud 4 1/4""",,-109.1771,31.2292,10.0833,-109.3542,19.2083,-109.0000,43.2500
660428,Doors,"36"" x 84"" (180 MIN)",S32,43.8615,0.9375,11.7500,42.1635,-1.0417,45.5594,2.9167
674522,Walls,"Core - Concrete 12""",,-100.1250,30.4661,7.5833,-100.6250,18.7083,-99.6250,42.2240
674794,Walls,"Core - Concrete 12""",,-105.8125,19.2083,10.0833,-111.5000,18.7083,-100.1250,19.7083
678407,Walls,"Core - Concrete 10""",,3.5000,23.5286,10.0833,3.0833,18.8750,3.9167,28.1823
684173,Walls,"Core - Concrete 12""",,50.6250,-11.8750,10.0833,50.1250,-26.1250,51.1250,2.3750
685081,Walls,"Party - 6 1/8"" (2-hr)",,-20.2500,25.6146,10.0833,-20.7396,9.0052,-19.7604,42.2240
686974,Walls,"Chase - GWB & Metal Stud 6 5/8""",,42.3083,-30.1770,10.0833,41.2414,-30.5911,43.3753,-29.7628
687063,Walls,"Core - Concrete 12""",,45.9375,-26.1250,10.0833,40.7500,-26.6250,51.1250,-25.6250
687200,Walls,"Exterior - 5 3/8"" Rainscreen w Insultation (for Concrete Core Walls)",,43.1514,-28.0979,10.0833,42.9274,-30.0707,43.3753,-26.1250
695423,Stairs,Stair,,43.6042,-8.9792,4.2272,41.7500,-14.9375,45.4583,-3.0208
697096,Walls,"Exterior - 14 5/8"" Rainscreen w Insultation on Metal Stud",,-49.6406,-8.4583,7.5833,-50.2500,-26.4167,-49.0312,9.5000
697693,Walls,"Core - Concrete 12""",,-111.0000,31.2292,10.0833,-111.5000,19.2083,-110.5000,43.2500
697710,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,-74.9375,42.2240,7.5833,-100.1250,41.6979,-49.7500,42.7500
700016,Stairs,Stair,,45.9375,-11.7813,13.4583,41.7500,-19.6250,50.1250,-3.9375
701089,Multistory Stairs,Multistory Stairs,,45.9375,-11.7813,13.7083,41.2500,-20.1250,50.6250,-3.4375
734799,Walls,"Party - 6 1/8"" (2-hr)",,3.5833,35.1563,10.0833,3.0938,28.0885,4.0729,42.2240
735382,Walls,"Core - Concrete 10""",,-1.3568,19.2917,10.0833,-6.2135,18.8750,3.5000,19.7083
735544,Walls,"Interior - 6 1/8"" Partition (2-hr)",,-90.3073,22.1484,-0.4583,-90.5625,19.0885,-90.0521,25.2083
736143,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,-57.4010,36.2240,-0.4583,-65.5521,35.6979,-49.2500,36.7500
737373,Walls,"Interior - 7 1/4"" Partition (1 hr)",,-65.2500,28.3073,-0.4583,-65.5521,20.3906,-64.9479,36.2240
738934,Walls,"Interior - 4 7/8"" Partition (1-hr)",,-80.2865,25.2448,-0.4583,-90.4583,25.0417,-70.1146,25.4479
739021,Walls,"Interior - 4 7/8"" Partition (1-hr)",,-70.3177,27.0964,-0.4583,-70.5208,25.2448,-70.1146,28.9479
739059,Walls,"Interior - 4 7/8"" Partition (1-hr)",,-67.7839,28.7448,-0.4583,-70.3177,28.5417,-65.2500,28.9479
746421,Stairs,Stair,,-15.0937,-4.6458,13.4583,-19.0937,-11.1042,-11.0937,1.8125
748363,Walls,"Party - 6 1/8"" (2-hr)",,41.2500,25.6146,10.0833,40.7604,9.0052,41.7396,42.2240
748511,Walls,"Interior - 6 1/8"" Partition (2-hr)",,-22.4062,9.0052,10.0833,-39.8229,8.7500,-4.9896,9.2604
748731,Walls,"Interior - 6 1/8"" Partition (2-hr)",,21.6068,2.4948,10.0833,3.0938,2.2396,40.1198,2.7500
748796,Walls,"Interior - 6 1/8"" Partition (2-hr)",,-34.7005,2.4948,10.0833,-49.6406,2.2396,-19.7604,2.7500
748858,Walls,"Party - 6 1/8"" (2-hr)",,-20.2500,-12.5234,10.0833,-20.7396,-27.5417,-19.7604,2.4948
748873,Walls,"Party - 6 1/8"" (2-hr)",,3.5833,-13.7891,10.0833,3.0938,-30.0729,4.0729,2.4948
751237,Walls,"Interior - 6 1/8"" Partition (2-hr)",,27.4844,9.0052,10.0833,3.5833,8.7500,51.3854,9.2604
756614,Walls,"Core - Concrete 10""",,-1.0833,27.5417,10.0833,-6.0833,27.1250,3.9167,27.9583
756775,Walls,"Core - Concrete 10""",,-5.6667,23.0964,10.0833,-6.0833,18.6510,-5.2500,27.5417
756965,Walls,"Core - Concrete 10""",,-90.8750,29.9583,7.5833,-91.2917,25.6250,-90.4583,34.2917
757097,Walls,"Core - Concrete 10""",,-95.5000,33.8750,7.5833,-100.1250,33.4583,-90.8750,34.2917
757247,Walls,"Core - Concrete 10""",,-95.2917,25.6250,7.5833,-100.1250,25.2083,-90.4583,26.0417
785946,Walls,"Interior - 4 7/8"" Partition (NR)",,-43.0260,-1.9635,10.0833,-44.2604,-2.1667,-41.7917,-1.7604
785947,Walls,"Interior - 7 1/4"" Partition (NR)",,-41.7917,-7.0781,10.0833,-42.0938,-12.0937,-41.4896,-2.0625
785948,Walls,"Interior - 4 7/8"" Partition (NR)",,-30.4818,-11.0573,10.0833,-32.2344,-11.2604,-28.7292,-10.8542
785949,Walls,"Interior - 4 7/8"" Partition (NR)",,-28.6302,-3.3151,10.0833,-28.8333,-4.6667,-28.4271,-1.9635
785950,Walls,"Interior - 4 7/8"" Partition (NR)",,-43.0260,-11.8906,10.0833,-44.2604,-12.0937,-41.7917,-11.6875
785952,Walls,"Interior - 4 7/8"" Partition (NR)",,-30.4323,-4.4635,10.0833,-32.2344,-4.6667,-28.6302,-4.2604
785953,Walls,"Interior - 4 7/8"" Partition (NR)",,-27.4948,-11.8906,10.0833,-28.7292,-12.0937,-26.2604,-11.6875
785954,Walls,"Interior - 4 7/8"" Partition (NR)",,-32.2344,-9.9635,10.0833,-32.4375,-10.9583,-32.0313,-8.9687
785955,Walls,"Interior - 4 7/8"" Partition (NR)",,-40.4740,-5.0365,10.0833,-41.7917,-5.2396,-39.1563,-4.8333
785957,Walls,"Interior - 4 7/8"" Partition (NR)",,-27.5469,-1.9635,10.0833,-28.8333,-2.1667,-26.2604,-1.7604
785960,Doors,"36"" x 84"" (Cores)",202A,-34.3750,-3.5417,11.6667,-36.0417,-5.3646,-32.7083,-1.7187
786584,Walls,"Interior - 4 7/8"" Partition (NR)",,34.1927,12.9635,10.0833,32.9583,12.7604,35.4271,13.1667
786585,Walls,"Interior - 7 1/4"" Partition (NR)",,32.9583,18.0781,10.0833,32.6562,13.0625,33.2604,23.0937
786586,Walls,"Interior - 4 7/8"" Partition (NR)",,22.2708,22.0573,10.0833,19.8958,21.8542,24.6458,22.2604
786587,Walls,"Interior - 4 7/8"" Partition (NR)",,19.7969,14.2161,10.0833,19.5938,12.9635,20.0000,15.4688
786588,Walls,"Interior - 4 7/8"" Partition (NR)",,34.1927,22.8906,10.0833,32.9583,22.6875,35.4271,23.0937
786589,Walls,"Interior - 4 7/8"" Partition (NR)",,23.4010,14.2656,10.0833,23.1979,13.0625,23.6042,15.4688
786590,Walls,"Interior - 4 7/8"" Partition (NR)",,21.5990,15.2656,10.0833,19.7969,15.0625,23.4010,15.4688
786591,Walls,"Interior - 4 7/8"" Partition (NR)",,18.6615,22.8906,10.0833,17.4271,22.6875,19.8958,23.0938
786592,Walls,"Chase - GWB & Metal Stud 2 1/4""",,23.2917,19.2760,10.0833,23.1979,18.4792,23.3854,20.0729
786593,Walls,"Interior - 4 7/8"" Partition (NR)",,31.6406,15.9635,10.0833,30.3229,15.7604,32.9583,16.1667
786595,Walls,"Interior - 4 7/8"" Partition (NR)",,18.7135,12.9635,10.0833,17.4271,12.7604,20.0000,13.1667
786598,Doors,"36"" x 84"" (Cores)",205A,25.5677,14.5417,11.6667,23.9010,12.7187,27.2344,16.3646
786784,Doors,"36"" x 84"" (60 MIN)",202B,-29.1563,1.0156,11.6667,-30.8229,-0.7604,-27.4896,2.7917
786853,Doors,"36"" x 84"" (60 MIN)",205B,21.7500,10.4844,11.6667,20.0833,8.7083,23.4167,12.2604
796396,Walls,"Interior - 8 1/2"" Partition (2-hr)",,51.0313,5.6901,10.0833,50.6771,2.3750,51.3854,9.0052
797941,Walls,"Interior - 7 1/4"" Partition (NR)",,-29.8958,11.1901,10.0833,-30.1979,9.0052,-29.5938,13.3750
798132,Walls,"Interior - 7 1/4"" Partition (NR)",,-33.5365,18.5625,10.0833,-39.8750,18.2604,-27.1979,18.8646
798133,Walls,"Interior - 4 7/8"" Partition (NR)",,-27.4010,19.9115,10.0833,-27.6042,18.5625,-27.1979,21.2604
800030,Doors,"36"" x 84"" (Cores)",203B,-31.3750,16.3229,11.6667,-33.1979,14.6563,-29.5521,17.9896
800260,Walls,"Interior - 4 7/8"" Partition (NR)",,-37.7917,15.4635,10.0833,-39.4688,15.2604,-36.1146,15.6667
800261,Walls,"Interior - 4 7/8"" Partition (NR)",,-37.7917,12.0573,10.0833,-39.4688,11.8542,-36.1146,12.2604
