=== ELEMENTS ===
ElementId,Category,FamilyAndType,Mark,X_ft,Y_ft,Z_ft,MinX,MinY,MaxX,MaxY
619404,Walls,"Core - Concrete 12""",,-105.5625,43.2500,47.5000,-111.5000,42.7500,-99.6250,43.7500
621689,Multistory Stairs,Multistory Stairs,,-104.8125,33.8229,46.3056,-109.5000,25.1875,-100.1250,42.4583
621690,Stairs,Stair,,-104.8125,33.6979,38.9608,-109.0000,25.6875,-100.6250,41.7083
630930,Walls,"Chase - GWB & Metal Stud 4 1/4""",,-109.1771,31.2292,47.5000,-109.3542,19.2083,-109.0000,43.2500
631690,Doors,"36"" x 84"" (180 MIN)",S15,-101.5625,21.8438,49.1667,-103.5417,20.1458,-99.5833,23.5417
660431,Doors,"36"" x 84"" (180 MIN)",S35,43.8615,0.9375,49.1667,42.1635,-1.0417,45.5594,2.9167
674522,Walls,"Core - Concrete 12""",,-100.1250,30.4661,47.5000,-100.6250,18.7083,-99.6250,42.2240
674794,Walls,"Core - Concrete 12""",,-105.8125,19.2083,47.5000,-111.5000,18.7083,-100.1250,19.7083
678407,Walls,"Core - Concrete 10""",,3.5000,23.5286,47.5000,3.0833,18.8750,3.9167,28.1823
697693,Walls,"Core - Concrete 12""",,-111.0000,31.2292,47.5000,-111.5000,19.2083,-110.5000,43.2500
697710,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,-74.9375,42.2240,47.5000,-100.1250,41.6979,-49.7500,42.7500
697965,Walls,"Party - 6 1/8"" (2-hr)",,-49.5208,13.9792,47.5000,-50.0104,8.7500,-49.0313,19.2083
698311,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,69.7889,-14.7111,48.3333,67.9265,-24.9650,71.6514,-4.4572
698364,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,65.3805,17.9396,54.5000,61.7718,-6.4134,68.9892,42.2926
701089,Multistory Stairs,Multistory Stairs,,45.9375,-11.3229,46.3056,41.2500,-20.1250,50.6250,-2.5208
701090,Stairs,Stair,,45.9375,-11.7813,38.9608,41.7500,-19.6250,50.1250,-3.9375
734799,Walls,"Party - 6 1/8"" (2-hr)",,3.5833,35.1563,47.5000,3.0938,28.0885,4.0729,42.2240
735382,Walls,"Core - Concrete 10""",,-1.3568,19.2917,47.5000,-6.2135,18.8750,3.5000,19.7083
748897,Walls,"Core - Concrete 12""",,41.2500,-8.8750,47.5000,40.7500,-20.1250,41.7500,2.3750
750375,Walls,"Interior - 6 1/8"" Partition (2-hr)",,-22.8281,9.0052,47.5000,-39.8229,8.7500,-5.8333,9.2604
751261,Walls,"Interior - 6 1/8"" Partition (2-hr)",,-6.0885,13.8099,47.5000,-6.3437,9.0052,-5.8333,18.6146
751526,Walls,"Interior - 6 1/8"" Partition (2-hr)",,27.2708,9.0052,47.5000,3.5833,8.7500,50.9583,9.2604
752690,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,-20.2865,-14.6458,47.5000,-20.8125,-27.5417,-19.7604,-1.7500
752749,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,3.6198,-14.8646,47.5000,3.0938,-27.9792,4.1458,-1.7500
756614,Walls,"Core - Concrete 10""",,-1.0833,27.5417,47.5000,-6.0833,27.1250,3.9167,27.9583
756775,Walls,"Core - Concrete 10""",,-5.6667,23.0964,47.5000,-6.0833,18.6510,-5.2500,27.5417
756965,Walls,"Core - Concrete 10""",,-90.8750,29.9583,47.5000,-91.2917,25.6250,-90.4583,34.2917
757097,Walls,"Core - Concrete 10""",,-95.5000,33.8750,47.5000,-100.1250,33.4583,-90.8750,34.2917
757247,Walls,"Core - Concrete 10""",,-95.2917,25.6250,47.5000,-100.1250,25.2083,-90.4583,26.0417
760268,Doors,"36"" x 84"" (60 MIN)",507B,52.6094,6.8125,49.0833,50.8333,5.1458,54.3854,8.4792
760466,Walls,"Party - 6 1/8"" (2-hr)",,41.2500,25.6146,47.5000,40.7604,9.0052,41.7396,42.2240
760516,Walls,"Party - 6 1/8"" (2-hr)",,-20.2500,25.6146,47.5000,-20.7396,9.0052,-19.7604,42.2240
787286,Walls,"Interior - 4 7/8"" Partition (NR)",,34.1927,12.9635,47.5000,32.9583,12.7604,35.4271,13.1667
787287,Walls,"Interior - 7 1/4"" Partition (NR)",,32.9583,18.0781,47.5000,32.6563,13.0625,33.2604,23.0937
787288,Walls,"Interior - 4 7/8"" Partition (NR)",,22.2708,22.0573,47.5000,19.8958,21.8542,24.6458,22.2604
787289,Walls,"Interior - 4 7/8"" Partition (NR)",,19.7969,14.2161,47.5000,19.5938,12.9635,20.0000,15.4687
787290,Walls,"Interior - 4 7/8"" Partition (NR)",,34.1927,22.8906,47.5000,32.9583,22.6875,35.4271,23.0937
787291,Walls,"Interior - 4 7/8"" Partition (NR)",,23.4010,14.2656,47.5000,23.1979,13.0625,23.6042,15.4687
787292,Walls,"Interior - 4 7/8"" Partition (NR)",,21.5990,15.2656,47.5000,19.7969,15.0625,23.4010,15.4687
787293,Walls,"Interior - 4 7/8"" Partition (NR)",,18.6615,22.8906,47.5000,17.4271,22.6875,19.8958,23.0937
