=== ELEMENTS ===
ElementId,Category,FamilyAndType,Mark,X_ft,Y_ft,Z_ft,MinX,MinY,MaxX,MaxY
198749,Walls,Wall - Timber Clad,,22.8377,-3.2844,4.4291,22.5063,-10.9632,23.1691,4.3944
418079,Walls,Wall - Timber Clad,,27.7622,9.5125,1.9685,22.5129,9.1811,33.0116,9.8439
422243,Walls,Wall - Timber Clad,,27.6966,4.0630,1.9685,22.5785,3.7316,32.8147,4.3944
422466,Doors,800 x 2100,103,30.9775,2.7997,3.5761,29.4027,1.1065,32.5523,4.4928
423099,Walls,SH_Curtain wall,,37.9328,9.3452,9.3504,33.0116,7.7047,42.8541,10.9856
424922,Walls,Interior - 165 Partition (1-hr),,27.8262,-2.4414,1.9685,22.8377,-2.7123,32.8147,-2.1706
425292,Doors,800 x 2100,104,30.9775,-3.7048,3.5761,29.4027,-5.3374,32.5523,-2.0722
425745,Walls,Interior - 165 Partition (1-hr),,25.0738,-6.6383,1.9685,24.8029,-10.8353,25.3446,-2.4414
427092,Walls,Wall - Timber Clad,,43.1855,-27.8628,0.0000,42.8541,-60.3792,43.5168,4.6536
493612,Walls,CL_W1,,-37.6905,4.8308,0.8202,-38.1498,-11.4226,-37.2312,21.0842
493697,Walls,CL_W1,,-2.7431,20.6249,-0.4921,-38.1498,20.1656,32.6635,21.0842
493790,Walls,CL_W1,,52.5454,4.8144,-0.4921,31.1386,-10.9960,73.9522,20.6249
493879,Walls,Foundation - 300mm Concrete,,57.6959,-10.5039,-0.4921,42.8541,-10.9960,72.5377,-10.0118
513254,Stairs,Stair,,38.0001,-9.9462,-0.9159,33.1461,-11.4226,42.8541,-8.4698
566588,Railings,SH_1100mm,,33.0132,-59.7165,-0.4052,23.1281,-59.7985,42.8984,-59.6345
627064,Walls,CL_W1,,2.8115,9.6404,-2.4606,-37.6905,9.1811,43.3134,10.0998
627729,Walls,CL_W1,,43.3134,0.5242,-2.4606,42.8541,-10.5039,43.7727,11.5524
628523,Walls,CL_W1,,-7.2607,-10.9632,-2.4606,-37.6905,-11.4226,23.1691,-10.5039
665557,Stairs,Stair,,40.4621,-0.6614,5.2288,38.0674,-10.5039,42.8569,9.1811
