TagId,New_U_ft,New_V_ft
438678,26.8335,95.4503
438679,37.9678,79.4266
438680,47.1296,77.2461
438681,52.9613,77.2461
438682,67.7661,77.2461
438683,71.4242,77.2461
438684,71.0556,79.8146
438685,67.7661,87.2694
438686,88.1860,78.9873
438687,81.7971,75.4790
438688,-26.7415,18.3272
438689,-24.6631,14.8968
438690,-6.4883,14.8968
438691,-3.4675,-10.1116
438692,-3.4675,-23.2349
438693,-3.4675,-29.0502
438694,-3.3561,-51.1749
438695,10.4879,-53.4440
438696,14.8022,-53.4440
438697,25.6782,-55.4999
438698,39.6631,-55.4999
438699,158.7059,-53.4440
438700,154.3916,-53.4440
438701,139.0208,-53.4440
438702,134.7065,-53.4440
438703,99.6508,-53.4440
438704,95.3365,-53.4440
438705,79.9657,-53.4440
438706,75.6514,-53.4440
438707,44.9616,-53.4440
438708,177.4687,-51.1749
438709,186.8970,-51.6227
438710,-12.3397,56.2957
438711,8.8807,71.5822
438712,-12.3397,50.1278
438713,-4.0067,56.2957
438714,-4.0067,50.1278
438715,32.0156,1.2727
438716,31.3077,102.9894
438717,35.6385,102.9894
438718,43.9193,102.9894
438719,47.8694,102.9894
438720,51.8196,102.9894
438721,55.7697,102.9894
438796,26.9792,77.1718
438798,59.6967,77.1718
