TagId,New_U_ft,New_V_ft
4294879,112.5000,9.5178
4294880,112.5000,17.5533
4294881,53.1189,8.0000
4294882,94.7031,17.0000
4295032,112.7629,10.1231
4295033,83.4693,4.5000
4295038,62.2313,21.0000
4295039,62.2313,18.0000
4295040,61.7275,11.0000
4295041,73.8000,11.2660
4295043,100.5692,2.5000
4295047,90.5000,10.4266
4295048,61.9056,2.5000
4295049,70.3702,2.5000
4295050,105.3301,20.5000
4295052,33.6713,2.0000
4295053,43.0733,29.0000
4295054,40.3346,21.5000
4295055,32.4976,2.5000
4295056,93.4380,-3.8000
4295063,81.4890,20.5000
4295064,85.3153,33.0000
