TagId,New_U_ft,New_V_ft
2661161,43.8615,0.9375
2661162,-34.3750,-3.5417
2661163,25.5677,14.5417
2661164,-29.1563,1.0156
2661165,21.7500,10.4844
2661166,-31.3750,16.3229
2661167,-23.8438,10.4844
2661168,-13.7865,16.6979
2661169,46.3281,6.8125
2661170,-42.5104,20.6458
2661171,5.0208,16.0104
2661172,-46.0625,44.7188
2661173,-17.8229,10.4844
2661175,-41.0729,4.6875
2661177,11.0417,40.9740
2661199,-109.1771,31.2292
2661204,-20.2500,25.6146
2661208,-49.6406,-8.4583
2661210,3.5833,35.1563
2661213,41.2500,25.6146
2661215,21.6068,2.4948
2661217,-20.2500,-12.5234
2661218,3.5833,-13.7891
2661219,27.4844,9.0052
2661244,51.0313,5.6901
2661254,-4.9896,13.7474
2661255,-6.6198,15.4115
2661256,-34.7604,44.5833
2661257,-26.4271,44.5833
2661258,-9.7604,44.5833
2661259,36.0729,44.5833
2661260,-1.4271,44.5833
2661261,27.7396,44.5833
2661262,47.8073,6.0052
2661263,-79.0833,44.3542
2661264,-85.7083,44.3542
2661273,-45.6094,10.5365
2661277,-44.5833,43.2500
2661280,3.5833,13.7474
2661283,-95.3021,18.6875
2661284,-90.4792,13.8802
2661285,-95.7500,44.3542
2661288,-73.2917,44.3542
2661303,40.1198,-12.6198
2661305,-54.6771,39.8438
2661306,-58.9271,40.9453
2661313,-39.5938,5.7500
2661318,-39.2448,30.3359
2661324,-48.8895,18.0781
2661328,9.2240,11.1458
2661332,42.0833,34.2057
2661335,-34.9141,-27.8802
2661336,-25.4479,-26.1042
2661337,-31.9479,-26.1042
2661338,-38.4479,-26.1042
2661339,-44.9479,-26.1042
2661348,-8.3333,-26.2500
2661349,-12.1667,-26.2500
2661350,-4.5000,-26.2500
2661380,65.4237,3.3229
