TagId,New_U_ft,New_V_ft
2662973,43.8615,3.2083
2662974,-34.3750,-1.1875
2662975,25.5677,12.3542
2662976,-29.1563,3.3281
2662977,21.7500,8.1719
2662978,-27.9982,16.3229
2662979,-23.8438,8.1719
2662980,-13.7865,16.6979
2662981,47.8073,6.8125
2662982,-42.5104,18.7917
2662983,3.0833,16.0104
2662984,-46.0625,42.5000
2662985,-17.8229,8.1302
2662986,22.2188,23.1979
2662987,-39.5521,4.6875
2662988,-30.5313,-9.7500
2662989,61.1264,-25.1250
2662990,11.0417,43.3073
2662991,-34.7604,43.5876
2662992,-26.4271,43.5876
2662993,-9.7604,43.5876
2662994,36.0729,43.5876
2662995,-1.4271,43.5876
2662996,27.7396,43.5876
2662997,-79.0833,44.3542
2662998,-85.7083,44.3542
2662999,-95.7500,44.3542
2663000,-73.2917,44.3542
2663001,-25.4479,-30.4375
2663002,-31.9479,-30.4375
2663003,-38.4479,-30.4375
2663004,-44.9479,-30.4375
2663005,-8.3333,-30.4167
2663006,-12.1667,-30.4167
2663007,-4.5000,-30.4167
2663008,-109.0000,9.2701
2663009,62.0000,3.2773
2663010,-107.5000,31.2292
2663011,-101.8750,30.4661
2663012,49.0000,-11.8750
2663013,-18.2500,25.6146
2663014,-47.5000,-8.4583
2663015,-108.5000,31.2292
2663016,-74.9375,40.5000
2663017,-80.2865,23.5000
2663018,43.2500,25.6146
2663019,-22.4062,7.2500
2663020,21.6068,4.5000
2663021,-34.7005,4.5000
2663022,-18.2500,-12.5234
2663023,3.5833,-12.0000
2663024,27.4844,7.2500
2663025,-37.5000,30.7083
2663026,-35.2500,-30.5000
2663027,22.9471,-31.7500
2663028,38.5000,-11.8750
2663029,-47.2500,27.3542
2663030,-52.0000,24.8411
2663031,-46.5000,30.3464
2663032,38.2500,-12.6198
2663033,52.7500,-11.9870
2663034,-37.5000,30.3359
2663035,-34.9141,-26.2500
2663036,-8.3333,-31.0000
2663037,-12.5000,-28.6875
2663038,-8.8333,4.5000
2663039,61.2393,-31.0000
2663040,-70.3646,7.2500
2663041,11.7591,40.5000
2663042,-80.3958,20.7500
2663043,-80.3958,40.5000
2663044,-59.7135,20.7500
