TagId,New_U_ft,New_V_ft
2661736,43.8615,0.9375
2661737,-34.3750,-2.0208
2661738,25.5677,13.0208
2661739,-29.1563,2.4948
2661740,21.7500,9.0052
2661741,-31.3750,16.3229
2661742,-23.8438,8.9635
2661743,-13.7865,16.6979
2661744,46.3281,6.8125
2661745,-42.5104,19.2083
2661746,5.0208,16.0104
2661747,-46.0625,43.2500
2661748,-17.8229,8.9635
2661749,22.2188,22.0573
2661750,-41.0729,4.6875
2661751,-30.5313,-11.0573
2661752,61.1264,-26.9225
2661753,11.0417,40.9740
2661754,-34.7604,44.1030
2661755,-26.4271,44.1030
2661756,-9.7604,44.1030
2661757,36.0729,44.1030
2661758,-1.4271,44.1030
2661759,27.7396,44.1030
2661760,-79.0833,43.9112
2661761,-85.7083,43.9112
2661762,-95.7500,43.9112
2661763,-73.2917,43.9112
2661764,-25.4479,-26.1042
2661765,-31.9479,-26.1042
2661766,-38.4479,-26.1042
2661767,-44.9479,-26.1042
2661768,-8.3333,-26.2500
2661769,-12.1667,-26.2500
2661770,-4.5000,-26.2500
