TagId,New_U_ft,New_V_ft
2240929,43.8927,3.2083
2240930,-34.3750,-1.1875
2240931,25.5677,12.3542
2240932,-29.1563,3.3281
2240933,21.7500,8.1719
2240934,-27.9982,16.3281
2240935,-23.8438,8.1719
2240936,-13.9740,16.6979
2240937,47.8073,6.8125
2240938,-42.5417,18.7917
2240939,3.0833,16.0417
2240940,-46.0626,42.5000
2240941,-17.8229,8.1302
2240943,-39.5521,4.6875
2240945,11.0729,43.3073
2245861,-34.7604,44.5833
2245862,-26.4271,44.5833
2245863,-9.7604,44.5833
2245864,36.0729,44.5833
2245865,-1.4271,44.5833
2245866,27.7396,44.5833
2245867,-79.0833,44.3542
2245868,-85.7083,44.3542
2245869,-95.7500,44.3542
2245870,-73.2917,44.3542
2245871,-25.4479,-30.4375
2245872,-31.9479,-30.4375
2245873,-38.4479,-30.4375
2245874,-44.9479,-30.4375
2245875,-8.3333,-30.4167
2245876,-12.1667,-30.4167
2245877,-4.5000,-30.4167
2246528,7.5833,35.0019
2246529,-16.2500,35.6916
2246532,7.5833,-17.0091
2246533,-16.2500,-17.8712
2246534,-45.6406,-16.9516
2246538,7.5889,5.6500
2246544,-33.8510,5.6500
2246552,-0.9896,13.9296
2246557,13.2240,11.3816
2246560,-0.4167,11.0009
2246567,46.0833,29.1300
2246569,45.2500,23.3069
2246570,55.0313,6.9674
2246571,45.4870,4.6750
2246576,36.1198,-8.4134
2246592,-86.4792,15.4431
2246593,-94.9420,22.6875
2246598,-62.9271,40.3585
2246600,-53.1093,35.8438
2246610,-106.8053,24.5094
2247147,-28.4688,-23.8802
2247156,-35.2448,37.5842
2247159,-47.1409,14.5781
2247161,-41.6094,10.6414
2247163,-43.5938,7.3822
2248755,64.9206,7.3229
