TagId,New_U_ft,New_V_ft
2662133,-101.5625,24.0938
2662134,43.8615,3.6667
2662135,-34.375,-1.1875
2662136,18.9583,-1.1875
2662137,25.5677,12.3542
2662138,12.8274,12.3542
2662139,28.8854,3.3281
2662140,53.3229,3.3281
2662141,57.6688,3.3281
2662142,-24.4167,8.1719
2662143,-8.0208,-1.1875
2662144,-29.1563,3.3281
2662145,-3.9375,3.3281
2662146,-42.5104,17.9167
2662147,3.0833,16.0104
2662148,59.1667,-3.0
2662149,49.4792,13.5729
2662150,22.2188,20.5
2662151,-46.5,5.3979
2662152,-27.9982,16.3229
2662153,-39.5521,4.6875
2662154,-13.974,16.6979
2662155,-93.349,38.9896
2662156,-30.5313,-9.5
2662157,-87.4479,38.4063
2662158,48.5417,38.4063
2662159,-5.625,38.4063
2662160,-17.8229,8.1719
2662161,-4.1771,-9.5
2662162,-30.5937,44.6123
2662163,-13.9271,44.6123
2662164,6.9063,44.6123
2662165,36.0729,44.6123
2662166,15.2396,44.6123
2662167,27.7396,44.6123
2662168,-74.9167,44.6123
2662169,-62.4167,44.6123
2662170,-103.8341,-13.7374
2662171,-97.9044,-13.7374
2662172,-82.2059,-13.7029
2662173,-76.2763,-13.7029
2662174,-60.5778,-13.2321
2662175,-54.6481,-13.2321
2662176,-25.5313,-29.1146
2662177,-32.0313,-29.1146
2662178,-38.4479,-29.1146
2662179,-44.9479,-29.1146
2662180,-0.0417,-31.1146
2662181,-16.625,-31.1146
2662182,-10.7917,-31.1146
2662183,-5.875,-31.1146
2662184,9.5417,-31.0729
2662185,14.875,-31.0729
2662186,20.2083,-31.0729
2662187,27.9583,-31.0729
2662188,33.2917,-31.0729
2662189,38.625,-31.0729
2662190,49.5528,-31.0729
2662191,55.832,-31.0729
2662192,61.0371,-31.0729
2662193,66.2422,-31.0729
2662194,44.5956,-31.0729
2662195,72.6514,3.2773
2662196,-107.8542,31.2292
2662197,-98.625,30.4661
2662198,-16.25,25.6146
2662199,-112.5,31.2292
2662200,-74.9375,40.6979
2662201,72.6514,-14.6716
2662202,45.25,25.6146
2662203,-16.25,-12.3021
2662204,7.5833,-13.5703
2662205,42.75,-8.875
2662206,-32.851,5.65
2662207,-3.4505,5.65
2662208,29.0141,5.65
2662209,52.6,-8.875
2662210,-38.0,30.7083
2662211,-47.25,30.3464
2662212,-37.5,30.3359
2662213,-51.5,30.3359
2662214,38.5,-8.875
2662215,53.0,-8.875
2662216,-47.5,-16.7422
2662217,-47.5,4.9697
2662218,-28.4688,-26.8989
2662219,-8.0833,-31.1146
2662220,22.4219,-31.0729
2662221,55.7961,-31.0729
2662222,11.7591,40.6979
2662223,-108.4479,9.2701
