TagId,New_U_ft,New_V_ft
2661806,-101.5625,24.3438
2661807,43.8615,3.6667
2661808,-34.3750,-1.1875
2661809,18.9583,-1.1875
2661810,25.5677,12.3542
2661811,21.7500,8.1719
2661812,28.8854,3.3281
2661813,53.3229,3.3281
2661814,55.0000,4.6875
2661815,-24.4167,8.1719
2661816,-8.0208,-1.1875
2661817,-29.1563,3.3281
2661818,-3.9375,3.3281
2661819,-42.5104,18.7917
2661820,3.0833,16.0104
2661821,55.8854,-5.4271
2661822,52.5000,16.3229
2661823,22.2188,23.5000
2661824,-46.0000,5.3979
2661825,-31.3750,18.7500
2661826,-39.5521,4.6875
2661827,-13.7865,14.5000
2661828,-93.3490,33.5000
2661829,-30.5313,-9.5000
2661830,-87.4479,43.5000
2661831,48.5417,43.5000
2661832,-5.6250,43.5000
2661833,-17.8229,8.1719
2661834,-4.1771,-9.5000
2661835,-30.5937,44.5876
2661836,-13.9271,44.5876
2661837,6.9063,44.5876
2661838,36.0729,44.5876
2661839,15.2396,44.5876
2661840,27.7396,44.5876
2661841,-74.9167,44.5876
2661842,-62.4167,44.5876
2661843,-103.8341,-7.5000
2661844,-97.9044,-11.0000
2661845,-82.2059,-7.5000
2661846,-76.2763,-11.0000
2661847,-60.5778,-7.5000
2661848,-54.6481,-11.0000
2661849,-25.5313,-30.4167
2661850,-32.0313,-30.4167
2661851,-38.4479,-30.4167
2661852,-44.9479,-30.4167
2661853,-0.0417,-31.5000
2661854,-16.6250,-31.5000
2661855,-10.7917,-31.5000
2661856,-5.8750,-31.5000
2661857,9.5417,-31.5000
2661858,14.8750,-31.5000
2661859,20.2083,-31.5000
2661860,27.9583,-31.5000
2661861,33.2917,-31.5000
2661862,38.6250,-31.5000
2661863,49.5528,-31.5000
2661864,55.8320,-31.5000
2661865,61.0371,-31.5000
2661866,66.2422,-31.5000
2661867,44.5956,-31.5000
2661868,62.1901,3.2773
2661869,-108.1771,31.2292
2661870,-99.0000,30.4661
2661871,-18.7604,25.6146
2661872,-109.5000,31.2292
2661873,-74.9375,40.6979
2661874,66.9265,-14.6716
2661875,42.7396,25.6146
2661876,-18.7604,-12.3021
2661877,5.0729,-13.5703
2661878,42.7500,-8.8750
2661879,-22.1823,7.5052
2661880,-4.4505,3.7500
2661881,30.0141,10.5052
2661882,49.1250,-8.8750
2661883,-38.3750,30.7083
2661884,-47.7500,30.3464
2661885,-37.7448,30.3359
2661886,-51.3802,30.3359
2661887,39.1198,-8.8750
2661888,52.7552,-8.8750
2661889,-47.5312,-16.7422
2661890,-47.5208,4.9697
2661891,-34.9141,-26.3989
2661892,-8.0833,-28.3385
2661893,22.4219,-28.2969
2661894,55.7961,-26.3932
2661895,11.7591,40.6979
2661896,-109.4479,9.2701
