TagId,New_U_ft,New_V_ft
56277895,70.4433,45.4544
56277896,70.4433,43.7844
56277899,93.9469,45.4544
56277900,93.9469,43.7844
56277901,52.4934,45.4544
56277902,52.4934,43.7844
56277903,101.4616,47.1621
56277904,100.2272,57.2539
56277905,100.3854,54.7964
56277906,92.5164,51.9127
56277907,94.1634,51.9127
56277908,94.2200,57.2539
56277909,94.2200,55.7850
56277910,96.9816,51.8406
56277911,60.3532,58.4090
56277912,79.2298,52.5352
56277913,80.4937,52.6161
56277914,91.6175,50.5282
56277915,78.1660,50.5282
56277916,78.1660,50.5282
56277917,82.4619,52.5352
56277918,83.9215,54.7982
56277919,84.9586,57.1178
56277920,85.7792,60.6876
56277921,81.5928,50.5397
56277922,55.3438,68.3251
56277923,50.9334,65.3496
56277931,64.4025,52.5098
56277932,60.5151,51.4961
56277933,68.9883,48.8698
56277934,68.9883,50.5085
56277935,75.6398,51.4911
56277936,90.7185,52.2357
56277937,89.0912,51.4911
56277938,84.1314,51.4911
56277939,86.6142,48.8755
56277940,86.6142,50.5028
56277955,41.6667,41.1598
56277956,44.1421,43.3071
56277957,60.8448,43.3251
56277958,62.9741,41.1598
56277959,65.1394,43.3071
56277960,83.6614,41.1598
56277961,86.1368,43.3071
56277962,102.7277,42.4278
56277963,104.9688,41.1598
56277964,107.1342,43.0430
56277974,41.9767,-2.1473
56277975,44.1421,-0.0180
56277976,41.9948,2.1473
56277977,60.8448,-0.0000
56277978,62.9741,-2.1473
56277979,65.1394,-0.0180
56277980,62.9921,2.1473
56277981,81.8422,-0.0000
56277982,83.9715,-2.1473
56277983,86.1368,-0.0180
56277984,83.9895,2.1473
56277985,102.8396,-0.0000
56277986,104.9688,-2.1473
56277987,107.1342,-0.0180
56277988,104.9869,2.1473
56277991,110.1558,29.3603
56277992,108.7803,44.0714
56277994,81.1860,43.2890
56277995,70.5441,62.1030
56277996,83.3962,61.6237
56277997,97.6958,62.1030
56277998,97.0254,49.0338
56277999,43.8017,48.8698
56278002,85.9723,52.6739
56278003,68.5007,57.2234
56278004,72.4116,57.0899
56278005,75.7841,57.8725
56278006,77.1030,57.7869
56278007,59.0404,58.4090
56278026,85.0577,54.7982
56278072,101.6371,60.5867
56278116,68.1244,53.9731
56278119,90.5545,59.2176
56278120,85.9187,54.3667
56278127,72.8018,52.5098
56278185,47.8464,62.6640
56278186,47.7463,55.1181
56278187,101.6371,53.9538
56278188,69.8196,57.8618
56278231,43.7465,22.3560
56278236,94.1543,65.2400
56278237,77.2092,53.7846
56278239,98.6713,52.8191
56278240,81.6273,65.0509
56278241,78.1660,50.5345
56278242,81.6109,50.5374
56278243,91.6175,50.5345
56278246,45.7677,45.5342
56278247,66.7651,45.5342
56278248,87.7625,45.5342
56278249,61.6798,63.7548
56278250,44.0954,20.3248
56278251,68.0774,50.7020
56278252,86.6142,50.7020
56278254,90.9888,53.1011
56278255,112.7312,11.5048
56278256,104.0609,46.4632
56278263,61.4208,67.0866
56278266,109.8441,65.5706
