TagId,New_U_ft,New_V_ft
54740536,70.4433,45.4544
54740537,70.4433,43.7844
54740553,93.9469,45.4544
54740554,93.9469,43.7844
54740556,52.4934,45.4544
54740557,52.4934,43.7844
54740560,101.4616,47.1621
54740568,100.2272,57.2539
54740569,100.3854,55.7850
54740570,92.5164,51.9127
54740571,94.1634,51.9127
54740572,94.2200,57.2539
54740573,94.2200,55.7850
54740577,96.9816,51.8406
54740590,60.3532,58.4090
54740595,79.2298,52.5352
54740596,80.4937,52.6161
54740605,91.6175,50.5282
54740606,78.1660,50.5282
54740610,78.1660,50.5282
54740613,82.4619,52.5352
54740618,83.9215,54.7982
54740619,84.9586,57.1178
54740621,85.7792,60.6876
54740625,81.5928,50.5397
54740626,55.3438,68.3251
54740631,50.9334,65.3496
54740668,64.4025,52.5098
54740669,60.5151,51.4961
54740671,68.9883,48.8698
54740672,68.9883,50.5085
54740676,75.6398,51.4911
54740678,90.7185,52.2357
54740679,89.0912,51.4911
54740680,84.1314,51.4911
54740682,86.6142,48.8755
54740683,86.6142,50.5028
54740829,41.6667,41.1598
54740834,44.1421,43.3071
54740835,60.8448,43.3251
54740836,62.9741,41.1598
54740837,65.1394,43.3071
54740838,83.6614,41.1598
54740839,86.1368,43.3071
54740840,102.7277,42.4278
54740841,104.9688,41.1598
54740844,107.1342,43.0430
54740864,41.9767,-2.1473
54740865,44.1421,-0.0180
54740866,41.9948,2.1473
54740867,60.8448,-0.0000
54740868,62.9741,-2.1473
54740869,65.1394,-0.0180
54740870,62.9921,2.1473
54740871,81.8422,-0.0000
54740872,83.9715,-2.1473
54740873,86.1368,-0.0180
54740874,83.9895,2.1473
54740875,102.8396,-0.0000
54740977,104.9688,-2.1473
54740978,107.1342,-0.0180
54740979,104.9869,2.1473
54740999,110.1558,29.3603
54741001,108.7803,44.0714
54741003,81.1860,43.2890
54741132,70.5441,62.1030
54741133,83.3962,61.6237
54741134,97.6958,62.1030
54741135,97.0254,49.0338
54741136,43.8017,48.8698
54741229,85.9723,52.6739
54741230,68.5007,57.2234
54741231,72.4116,57.0899
54741232,75.7841,57.8725
54741233,77.1030,57.7869
54741234,59.0404,58.4090
54742048,85.0577,54.7982
54938114,101.6371,60.5867
55029132,68.1244,53.9731
55029579,90.5545,59.2176
55029580,85.9187,54.3667
55034787,72.8018,52.5098
55045685,47.8464,62.6640
55045691,47.7463,55.1181
55046055,101.6371,53.9538
55046056,69.8196,57.8618
55402144,43.7465,22.3560
55402149,94.1543,65.2400
55453329,75.1421,54.8720
55453331,98.6309,48.5384
55453332,81.6273,66.2065
55453333,78.1660,48.7166
55453334,81.6046,48.7166
55453335,91.8219,48.8169
55453338,45.9456,45.5342
55453339,66.7651,45.5342
55453340,87.9223,45.5342
55453341,61.6206,63.7548
55453342,42.9377,18.7302
55453343,66.9905,50.7020
55453344,84.6103,48.6009
55453346,90.9730,54.7982
55453348,112.7312,11.5048
55453349,107.7451,49.5343
55471138,61.4208,67.0866
55489833,109.8441,50.0821
