=== ELEMENTS ===,,,,,,,,,,
ElementId,Category,FamilyAndType,Mark,X_ft,Y_ft,Z_ft,MinX,MinY,MaxX,MaxY
619340,Walls,"Exterior - 13 5/8"" Rainscreen (Two Sides) w Insultation on Metal Stud",,-110.9323,9.2701,10.0833,-111.5,-0.1681,-110.3646,18.7083
619404,Walls,"Core - Concrete 12""",,-105.5625,43.25,7.5833,-111.5,42.75,-99.625,43.75
619550,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud (Alley)",,67.4207,3.2773,10.0833,63.1901,-24.965,71.6514,31.5195
621689,Multistory Stairs,Multistory Stairs,,-104.8125,33.6979,6.7083,-109.5,25.1875,-100.125,42.2083
622037,Stairs,Stair,,-104.8125,33.6979,1.2092,-109,25.6875,-100.625,41.7083
622384,Stairs,Stair,,-104.8125,33.6979,13.4583,-109,25.6875,-100.625,41.7083
630930,Walls,"Chase - GWB & Metal Stud 4 1/4""",,-109.1771,31.2292,10.0833,-109.3542,19.2083,-109,43.25
660428,Doors,"36"" x 84"" (180 MIN)",S32,43.8615,0.9375,11.75,42.1635,-1.0417,45.5594,2.9167
674522,Walls,"Core - Concrete 12""",,-100.125,30.4661,7.5833,-100.625,18.7083,-99.625,42.224
674794,Walls,"Core - Concrete 12""",,-105.8125,19.2083,10.0833,-111.5,18.7083,-100.125,19.7083
678407,Walls,"Core - Concrete 10""",,3.5,23.5286,10.0833,3.0833,18.875,3.9167,28.1823
684173,Walls,"Core - Concrete 12""",,50.625,-11.875,10.0833,50.125,-26.125,51.125,2.375
685081,Walls,"Party - 6 1/8"" (2-hr)",,-20.25,25.6146,10.0833,-20.7396,9.0052,-19.7604,42.224
686974,Walls,"Chase - GWB & Metal Stud 6 5/8""",,42.3083,-30.177,10.0833,41.2414,-30.5911,43.3753,-29.7628
687063,Walls,"Core - Concrete 12""",,45.9375,-26.125,10.0833,40.75,-26.625,51.125,-25.625
687200,Walls,"Exterior - 5 3/8"" Rainscreen w Insultation (for Concrete Core Walls)",,43.1514,-28.0979,10.0833,42.9274,-30.0707,43.3753,-26.125
695423,Stairs,Stair,,43.6042,-8.9792,4.2272,41.75,-14.9375,45.4583,-3.0208
697096,Walls,"Exterior - 14 5/8"" Rainscreen w Insultation on Metal Stud",,-49.6406,-8.4583,7.5833,-50.25,-26.4167,-49.0312,9.5
697693,Walls,"Core - Concrete 12""",,-111,31.2292,10.0833,-111.5,19.2083,-110.5,43.25
697710,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,-74.9375,42.224,7.5833,-100.125,41.6979,-49.75,42.75
700016,Stairs,Stair,,45.9375,-11.7813,13.4583,41.75,-19.625,50.125,-3.9375
701089,Multistory Stairs,Multistory Stairs,,45.9375,-11.7813,13.7083,41.25,-20.125,50.625,-3.4375
734799,Walls,"Party - 6 1/8"" (2-hr)",,3.5833,35.1563,10.0833,3.0938,28.0885,4.0729,42.224
735382,Walls,"Core - Concrete 10""",,-1.3568,19.2917,10.0833,-6.2135,18.875,3.5,19.7083
735544,Walls,"Interior - 6 1/8"" Partition (2-hr)",,-90.3073,22.1484,-0.4583,-90.5625,19.0885,-90.0521,25.2083
736143,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,-57.401,36.224,-0.4583,-65.5521,35.6979,-49.25,36.75
737373,Walls,"Interior - 7 1/4"" Partition (1 hr)",,-65.25,28.3073,-0.4583,-65.5521,20.3906,-64.9479,36.224
738934,Walls,"Interior - 4 7/8"" Partition (1-hr)",,-80.2865,25.2448,-0.4583,-90.4583,25.0417,-70.1146,25.4479
739021,Walls,"Interior - 4 7/8"" Partition (1-hr)",,-70.3177,27.0964,-0.4583,-70.5208,25.2448,-70.1146,28.9479
739059,Walls,"Interior - 4 7/8"" Partition (1-hr)",,-67.7839,28.7448,-0.4583,-70.3177,28.5417,-65.25,28.9479
746421,Stairs,Stair,,-15.0937,-4.6458,13.4583,-19.0937,-11.1042,-11.0937,1.8125
748363,Walls,"Party - 6 1/8"" (2-hr)",,41.25,25.6146,10.0833,40.7604,9.0052,41.7396,42.224
748511,Walls,"Interior - 6 1/8"" Partition (2-hr)",,-22.4062,9.0052,10.0833,-39.8229,8.75,-4.9896,9.2604
748731,Walls,"Interior - 6 1/8"" Partition (2-hr)",,21.6068,2.4948,10.0833,3.0938,2.2396,40.1198,2.75
748796,Walls,"Interior - 6 1/8"" Partition (2-hr)",,-34.7005,2.4948,10.0833,-49.6406,2.2396,-19.7604,2.75
748858,Walls,"Party - 6 1/8"" (2-hr)",,-20.25,-12.5234,11.5833,-20.7396,-27.5417,-19.7604,2.4948
748873,Walls,"Party - 6 1/8"" (2-hr)",,3.5833,-13.7891,11.5833,3.0938,-30.0729,4.0729,2.4948
751237,Walls,"Interior - 6 1/8"" Partition (2-hr)",,27.4844,9.0052,10.0833,3.5833,8.75,51.3854,9.2604
756614,Walls,"Core - Concrete 10""",,-1.0833,27.5417,10.0833,-6.0833,27.125,3.9167,27.9583
