ElementId,Category,FamilyAndType,Mark,LocationType,FacingAngle_deg,Model_X_ft,Model_Y_ft,Model_Z_ft,Tag_U_ft,Tag_V_ft,ViewLocal_U_ft,ViewLocal_V_ft,BBox_Min_X,BBox_Min_Y,BBox_Max_X,BBox_Max_Y
607581,Cameras,Camera fr Above (Realistic) wo Point Cloud,,BBoxCenter,,-6.9153,-23.1752,56.2019,-6.9153,-23.1752,-6.9153,-23.1752,-141.4755,-151.2601,127.6448,104.9097
619404,Walls,"Core - Concrete 12""",,CurveMidpt,,-105.5625,43.2500,-5.9167,-105.5625,43.2500,-105.5625,43.2500,-111.5000,42.7500,-99.6250,43.7500
631497,Doors,"36"" x 84""",S11A,Point,90.0000,-100.1250,21.8750,-5.9167,-100.1250,21.8750,-100.1250,21.8750,-100.6667,20.2083,-96.7083,23.6042
674522,Walls,"Core - Concrete 12""",,CurveMidpt,,-100.1250,30.7161,-5.9167,-100.1250,30.7161,-100.1250,30.7161,-100.6250,18.7083,-99.6250,42.2240
674794,Walls,"Core - Concrete 12""",,CurveMidpt,,-105.5625,19.2083,-5.9167,-105.5625,19.2083,-105.5625,19.2083,-111.5000,18.7083,-100.1250,19.7083
697096,Walls,"Exterior - 14 5/8"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,-49.6406,-8.6719,-3.4583,-49.6406,-8.6719,-49.6406,-8.6719,-50.2500,-26.4167,-49.0312,9.5000
697710,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,-74.9375,42.2240,-5.9167,-74.9375,42.2240,-74.9375,42.2240,-100.1250,41.6979,-49.7500,42.7500
716293,Vertical Circulation,3500 lbs,,Point,,-95.4583,29.6667,0.0000,-95.4583,29.6667,-95.4583,29.6667,-99.6250,26.2083,-91.2917,33.1250
724803,Specialty Equipment,"48"" x 84""",,Point,360.0000,-95.4583,25.6250,-5.9167,-95.4583,25.6250,-95.4583,25.6250,-99.4583,24.8517,-91.4583,26.2083
733588,Floors,Finish Floor - Ceramic Tile (Wood),,BBoxCenter,,-70.4792,21.1875,-6.1667,-70.4792,21.1875,-70.4792,21.1875,-90.4063,9.1458,-50.5521,33.2292
735544,Walls,"Interior - 6 1/8"" Partition (2-hr)",,CurveMidpt,,-90.3073,22.0833,-5.9167,-90.3073,22.0833,-90.3073,22.0833,-90.5625,19.0625,-90.0521,25.2083
735573,Walls,"Exterior - 10 1/4"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,-70.0599,9.0729,-5.9167,-70.0599,9.0729,-70.0599,9.0729,-90.4792,8.6458,-49.6406,9.5000
736143,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,-57.1380,36.2240,-5.9167,-57.1380,36.2240,-57.1380,36.2240,-65.5521,35.6979,-49.2500,36.7500
736187,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,-65.0260,39.2240,-5.9167,-65.0260,39.2240,-65.0260,39.2240,-65.5521,35.7500,-64.5000,42.6042
737269,Walls,"Interior - 4 7/8"" Partition (1-hr)",,CurveMidpt,,-54.4010,28.8699,-5.9167,-54.4010,28.8699,-54.4010,28.8699,-54.6042,21.5159,-54.1979,36.2240
737373,Walls,"Interior - 7 1/4"" Partition (1 hr)",,CurveMidpt,,-65.2500,28.3073,-5.9167,-65.2500,28.3073,-65.2500,28.3073,-65.5521,20.2396,-64.9479,36.2240
738550,Furniture,"36"" Diameter",,Point,,-80.0000,12.5417,-5.9167,-80.0000,12.5417,-80.0000,12.5417,-82.2995,10.2422,-77.7005,14.8411
738551,Furniture,Chair-Breuer,,Point,180.0000,-79.9998,14.0352,-5.9167,-79.9998,14.0352,-79.9998,14.0352,-80.7096,13.2422,-79.2909,14.8411
738552,Furniture,Chair-Breuer,,Point,270.0000,-81.4935,12.5418,-5.9167,-81.4935,12.5418,-81.4935,12.5418,-82.2995,11.8321,-80.7005,13.2508
738553,Furniture,Chair-Breuer,,Point,90.0000,-78.5065,12.5415,-5.9167,-78.5065,12.5415,-78.5065,12.5415,-79.2995,11.8326,-77.7005,13.2513
738554,Furniture,Chair-Breuer,,Point,360.0000,-80.0002,11.0482,-5.9167,-80.0002,11.0482,-80.0002,11.0482,-80.7091,10.2422,-79.2904,11.8411
738615,Furniture,"36"" Diameter",,Point,,-73.5000,12.5417,-5.9167,-73.5000,12.5417,-73.5000,12.5417,-75.7995,10.2422,-71.2005,14.8411
738616,Furniture,Chair-Breuer,,Point,180.0000,-73.4998,14.0352,-5.9167,-73.4998,14.0352,-73.4998,14.0352,-74.2096,13.2422,-72.7909,14.8411
