ElementId,Category,FamilyAndType,Mark,LocationType,Model_X_ft,Model_Y_ft,Model_Z_ft,Tag_U_ft,Tag_V_ft,ViewLocal_U_ft,ViewLocal_V_ft,BBox_Min_X,BBox_Min_Y,BBox_Max_X,BBox_Max_Y
607581,Cameras,Camera fr Above (Realistic) wo Point Cloud,,BBoxCenter,-6.9153,-23.1752,56.2019,-6.9153,-23.1752,-6.9153,-23.1752,-141.4755,-151.2601,127.6448,104.9097
619340,Walls,"Exterior - 13 5/8"" Rainscreen (Two Sides) w Insultation on Metal Stud",,CurveMidpt,-110.9323,9.1581,-5.9167,-110.9323,9.1581,-110.9323,9.1581,-111.5000,-0.1681,-110.3646,18.7083
619404,Walls,"Core - Concrete 12""",,CurveMidpt,-105.5625,43.2500,-5.9167,-105.5625,43.2500,-105.5625,43.2500,-111.5000,42.7500,-99.6250,43.7500
619550,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud (Alley)",,CurveMidpt,67.4207,3.2773,0.0000,67.4207,3.2773,67.4207,3.2773,63.1901,-24.9650,71.6514,31.5195
621689,Multistory Stairs,Multistory Stairs,,BBoxCenter,-104.8125,33.6979,6.7083,-104.8125,33.6979,-104.8125,33.6979,-109.5000,25.1875,-100.1250,42.2083
622037,Stairs,Stair,,BBoxCenter,-104.8125,33.6979,1.2092,-104.8125,33.6979,-104.8125,33.6979,-109.0000,25.6875,-100.6250,41.7083
622038,Runs,"1/4"" Tread 1"" Nosing 1/4"" Riser",,BBoxCenter,-107.1458,31.2412,1.0833,-107.1458,31.2412,-107.1458,31.2412,-108.9792,25.6875,-105.3125,36.7950
622040,Supports,"_Stringer - 1/4"" Plate",,BBoxCenter,-108.9896,31.3096,1.0833,-108.9896,31.3096,-108.9896,31.3096,-109.0000,25.6875,-108.9792,36.9317
622041,Supports,"_Stringer - 1/4"" Plate",,BBoxCenter,-105.3021,31.3096,1.0833,-105.3021,31.3096,-105.3021,31.3096,-105.3125,25.6875,-105.2917,36.9317
622042,Runs,"1/4"" Tread 1"" Nosing 1/4"" Riser",,BBoxCenter,-102.4792,30.6754,1.0833,-102.4792,30.6754,-102.4792,30.6754,-104.3125,25.5800,-100.6458,35.7708
622044,Landings,Non-Monolithic Landing,,BBoxCenter,-104.8125,38.6754,1.0833,-104.8125,38.6754,-104.8125,38.6754,-108.9792,35.6633,-100.6458,41.6875
622046,Supports,"_Stringer - 1/4"" Plate",,BBoxCenter,-100.6354,31.2060,1.2092,-100.6354,31.2060,-100.6354,31.2060,-100.6458,25.6875,-100.6250,36.7246
622047,Supports,"_Stringer - 1/4"" Plate",,BBoxCenter,-104.3229,31.2060,1.2092,-104.3229,31.2060,-104.3229,31.2060,-104.3333,25.6875,-104.3125,36.7246
622048,Supports,"_Stringer - 1/4"" Plate",,BBoxCenter,-100.6354,38.7396,1.0833,-100.6354,38.7396,-100.6354,38.7396,-100.6458,35.7708,-100.6250,41.7083
622049,Supports,"_Stringer - 1/4"" Plate",,BBoxCenter,-104.8125,41.6979,1.0833,-104.8125,41.6979,-104.8125,41.6979,-109.0000,41.6875,-100.6250,41.7083
622050,Supports,"_Stringer - 1/4"" Plate",,BBoxCenter,-108.9896,39.1794,1.0833,-108.9896,39.1794,-108.9896,39.1794,-109.0000,36.6504,-108.9792,41.7083
622051,Supports,"_Stringer - 1/4"" Plate",,BBoxCenter,-105.3021,37.1690,1.0833,-105.3021,37.1690,-105.3021,37.1690,-105.3125,36.6504,-105.2917,37.6875
622054,Supports,"_Stringer - 1/4"" Plate",,BBoxCenter,-104.8125,37.6771,1.0833,-104.8125,37.6771,-104.8125,37.6771,-105.3125,37.6667,-104.3125,37.6875
